,Times,MoIs,a,b,c
0,212360616000.0,2.7750784238120835e+17,4750.0,4584.446642030246,784.7826086956521
1,212360618661.084,2.7751445547861094e+17,4750.045997533876,4584.475805598302,784.761358090863
2,212360621322.168,2.775217065155838e+17,4750.096722757043,4584.50618102427,784.7382800882283
3,212360623983.252,2.775290295681687e+17,4750.148045866359,4584.536459093219,784.7150520302963
4,212360626644.336,2.7753636258125427e+17,4750.199460124704,4584.566693245227,784.6918117696965
5,212360629305.42,2.7754369743807635e+17,4750.25089154237,4584.596917582517,784.6685705477603
6,212360631966.504,2.7755103289507418e+17,4750.302327883928,4584.627140484165,784.6453292872495
7,212360634627.588,2.775583687404674e+17,4750.353766973736,4584.65736369333,784.6220880653652
8,212360637288.672,2.7756570493608614e+17,4750.405208410696,4584.687587553746,784.5988468887806
9,212360639949.756,2.7757304147490477e+17,4750.456652122838,4584.717812129164,784.5756057580476
10,212360642610.84,2.7758037835564506e+17,4750.5080980996845,4584.7480374288125,784.5523646731998
11,212360645271.924,2.7758771557807018e+17,4750.5595463383115,4584.778263455026,784.5291236342915
12,212360647933.008,2.775950531421272e+17,4750.610996834652,4584.808490211607,784.5058826413896
13,212360650594.092,2.7760239104783107e+17,4750.662449586873,4584.838717700818,784.4826416945097
14,212360653255.176,2.776097292952374e+17,4750.713904597691,4584.868945920645,784.4594007936262
15,212360655916.26,2.776170678843998e+17,4750.765361870848,4584.89917486756,784.4361599387418
16,212360658577.344,2.7762440681533446e+17,4750.81682140628,4584.929404541275,784.4129191299131
17,212360661238.428,2.7763174608803747e+17,4750.868283200586,4584.959634945026,784.3896783671887
18,212360663899.512,2.776390857025294e+17,4750.919747252091,4584.989866081026,784.3664376505469
19,212360666560.596,2.7764642565886608e+17,4750.971213563476,4585.020097947428,784.3431969799179
20,212360669221.68,2.7765376595709725e+17,4751.0226821383285,4585.050330540962,784.3199563552722
21,212360671882.764,2.776611065972377e+17,4751.074152976369,4585.080563861591,784.2967157766565
22,212360674543.848,2.7766844757928147e+17,4751.125626074012,4585.110797912693,784.2734752441373
23,212360677204.932,2.7767578890325245e+17,4751.177101429506,4585.141032696457,784.2502347577303
24,212360679866.016,2.7768313056920928e+17,4751.228579045602,4585.171268210844,784.2269943174093
25,212360682527.1,2.7769047257720502e+17,4751.280058926065,4585.201504452297,784.2037539231774
26,212360685188.184,2.7769781492725645e+17,4751.331541070834,4585.231741420528,784.180513575091
27,212360687849.268,2.777051576193592e+17,4751.383025476484,4585.261979118791,784.1572732731996
28,212360690510.352,2.7771250065353344e+17,4751.43451214133,4585.292217549314,784.1340330174804
29,212360693171.436,2.777198440298356e+17,4751.486001068067,4585.32245671024,784.1107928078642
30,212360855497.56,2.7816581736154397e+17,4754.612706291206,4587.16559948739,782.6974410706227
31,212360855497.56,2.7816581736154397e+17,4754.612706291206,4587.16559948739,782.6974410706227
32,212360858158.644,2.781731806414507e+17,4754.664317236289,4587.1958881779965,782.6742078975537
33,212360860819.728,2.781805453958086e+17,4754.7159454302,4587.226174862976,782.6509709607594
34,212360863480.812,2.781879106110679e+17,4754.767578166501,4587.256461119897,782.6277337592206
35,212360866141.896,2.7819527618462317e+17,4754.819213560589,4587.286747835784,782.6044965779378
36,212360868802.98,2.7820264210428685e+17,4754.870851302003,4587.3170352229645,782.5812594409745
37,212360871464.064,2.782100083683314e+17,4754.922491334633,4587.347323325901,782.5580223505431
