,Times,MoIs,a,b,c
0,212360616000.0,1883638056031265.5,1750.0,1686.73038344565,289.1304347826087
1,212360618661.084,1883696965062291.8,1750.022193721038,1686.7446365527335,289.12012518308137
2,212360621322.168,1883763253906399.5,1750.0473287222549,1686.75972771292,289.10864496591506
3,212360623983.252,1883830606280550.8,1750.072935630017,1686.7747616150896,289.09703791305895
4,212360626644.336,1883898141799333.0,1750.0986322859162,1686.7897547341224,289.0854172480796
5,212360629305.42,1883965716541578.5,1750.1243490042143,1686.8047353693912,289.0737951387418
6,212360631966.504,1884033303104895.5,1750.1500713864627,1686.8197129036978,289.062172898357
7,212360634627.588,1884100895664935.2,1750.175796219834,1686.834689867687,289.05055067069037
8,212360637288.672,1884168492902200.2,1750.2015227580189,1686.8496668993278,289.0389284719156
9,212360639949.756,1884236094508360.2,1750.227250825841,1686.8646441539156,289.02730630391903
10,212360642610.84,1884303700410585.2,1750.2529803829673,1686.8796216677658,289.01568416693476
11,212360645271.924,1884371310591632.8,1750.2787114193454,1686.8945994499747,289.00406206102275
12,212360647933.008,1884438925047464.8,1750.304443930978,1686.9095775043115,288.9924399862239
13,212360650594.092,1884506543777476.8,1750.3301779164697,1686.9245558323362,288.98081794255097
14,212360653255.176,1884574166782158.0,1750.3559133769847,1686.9395344332245,288.9691959299958
15,212360655916.26,1884641794062158.8,1750.3816503143767,1686.9545133053332,288.95757394856315
16,212360658577.344,1884709425617853.0,1750.4073887287923,1686.969492448513,288.945951998283
17,212360661238.428,1884777061449432.5,1750.433128618742,1686.984471864276,288.93433007918264
18,212360663899.512,1884844701557314.0,1750.4588699834496,1686.9994515536737,288.92270819125525
19,212360666560.596,1884912345942197.5,1750.484612824198,1687.014431515844,288.9110863344709
20,212360669221.68,1884979994604772.5,1750.5103571427992,1687.0294117492404,288.8994645088176
21,212360671882.764,1885047647545391.2,1750.5361029393032,1687.044392253828,288.8878427143203
22,212360674543.848,1885115304764253.5,1750.561850212128,1687.059373031188,288.8762209510146
23,212360677204.932,1885182966261777.2,1750.5875989604554,1687.0743540823587,288.86459921891225
24,212360679866.016,1885250632038701.0,1750.6133491855971,1687.089335406383,288.8529775180049
25,212360682527.1,1885318302095735.2,1750.6391008894518,1687.1043170015766,288.84135584829704
26,212360685188.184,1885385976433264.5,1750.6648540721744,1687.1192988677815,288.82973420981904
27,212360687849.268,1885453655051491.5,1750.6906087322673,1687.1342810065178,288.81811260259815
28,212360690510.352,1885521337950827.0,1750.7163648689482,1687.1492634188428,288.80649102662755
29,212360693171.436,1885589025131972.0,1750.742122483508,1687.1642461038894,288.794869481877
30,212360855497.56,1889693268931067.8,1752.3036447333084,1688.076920289001,288.08887433978634
31,212360855497.56,1889693268931067.8,1752.3036447333084,1688.076920289001,288.08887433978634
32,212360858158.644,1889761200126297.5,1752.3294780702881,1688.0919237405271,288.0772584677558
33,212360860819.728,1889829153514091.8,1752.3553253174714,1688.1069254375834,288.065639314781
34,212360863480.812,1889897113593906.5,1752.3811764378647,1688.121926230624,288.05401983733026
35,212360866141.896,1889965078354871.5,1752.4070295558545,1688.136926939236,288.0424003520105
36,212360868802.98,1890033047496497.8,1752.4328842806883,1688.151927824832,288.03078089378715
37,212360871464.064,1890101020966113.8,1752.4587405242942,1688.1669289576066,288.01916146673534
38,212360874125.148,1890168998753174.2,1752.4845982645247,1688.181930356835,288.00754207139113
39,212360876786.232,1890236980855736.8,1752.510457495671,1688.1969320279616,287.9959227078197
40,212360879447.316,1890304967273969.2,1752.5363182179071,1688.2119339711335,287.98430337600126
41,212360882108.4,1890372958008453.2,1752.5621804328525,1688.2269361849771,287.9726840759251
42,212360884769.484,1890440953059510.2,1752.5880441404856,1688.241938669516,287.96106480761756
43,212360887430.568,1890508952427311.5,1752.6139093391182,1688.2569414264271,287.9494455711159
44,212360890091.652,1890576956112286.0,1752.6397760278771,1688.271944456807,287.9378263664321
45,212360892752.736,1890644964115188.0,1752.665644208135,1688.2869477596512,287.9262071935569
46,212360895413.82,1890712976436752.5,1752.6915138818829,1688.3019513331874,287.9145880524946
47,212360898074.904,1890780993077365.5,1752.7173850492768,1688.3169551772478,287.9029689432766
48,212360900735.988,1890849014037215.8,1752.7432577087334,1688.3319592934306,287.8913498659314
49,212360903397.072,1890917039316705.5,1752.7691318594218,1688.3469636828493,287.8797308204514
50,212360906058.156,1890985068916581.5,1752.7950075026934,1688.3619683445922,287.8681118068045
51,212360908719.24,1891053102837538.0,1752.82088464046,1688.3769732770213,287.85649282497747
52,212360911380.324,1891121141079935.5,1752.846763272767,1688.3919784800978,287.84487387499627
53,212360914041.408,1891189183643954.5,1752.872643397931,1688.4069839554948,287.8332549568982
54,212360916702.492,1891257230530018.2,1752.8985250150758,1688.4219897043122,287.8216360706953
55,212360919363.576,1891325281738885.8,1752.9244081255836,1688.4369957255385,287.8100172163782
56,212360922024.66,1891393337271297.5,1752.950292731457,1688.4520020173895,287.7983983939511
57,212360924685.744,1891461397127642.2,1752.9761788328528,1688.4670085796963,287.7867796034456
58,212360927346.828,1891529461308105.0,1753.002066428176,1688.4820154140673,287.7751608448903
59,212360930007.912,1891597529813085.2,1753.0279555165898,1688.4970225216232,287.7635421182776
60,212360932668.996,1891665602643331.2,1753.0538460994533,1688.5120299014466,287.751923423575
61,212361068384.28,1895133787879911.8,1754.3732272543257,1689.2772329900351,287.15935546240763
62,212361068384.28,1895133787879911.8,1754.3732272543257,1689.2772329900351,287.15935546240763
63,212361071045.364,1895202068258638.0,1754.3991824498717,1689.2922577503289,287.1477415876428
64,212361073706.448,1895270368125080.2,1754.4251497151538,1689.3072810117503,287.13612495392044
65,212361076367.532,1895338674360310.8,1754.4511205200342,1689.3223035346628,287.1245080517291
66,212361079028.616,1895406985260159.8,1754.4770932645918,1689.337326023231,287.11289114835404
67,212361081689.7,1895475300569799.2,1754.5030676147653,1689.352348701432,287.10127427339
68,212361084350.784,1895543620244527.5,1754.5290434949982,1689.3673716295214,287.08965743030296
69,212361087011.868,1895611944275391.5,1754.5550208859295,1689.3823948243855,287.07804061955534
70,212361089672.952,1895680272660794.5,1754.5809997824729,1689.3974182909285,287.06642384120124
71,212361092334.036,1895748605401026.0,1754.606980185026,1689.4124420291068,287.054807095217
72,212361094995.12,1895816942496682.0,1754.6329620953409,1689.427466037426,287.04319038159036
73,212361097656.204,1895885283948102.0,1754.6589455134006,1689.4424903158972,287.0315737003487
74,212361100317.288,1895953629755450.8,1754.684930437422,1689.4575148662827,287.01995705153087
75,212361102978.372,1896021979919143.8,1754.7109168664786,1689.4725396897375,287.0083404351491
76,212361105639.456,1896090334439967.0,1754.7369048020087,1689.4875647852048,286.99672385119305
77,212361108300.54,1896158693318679.8,1754.7628942461026,1689.502590150818,286.9851072996668
78,212361110961.624,1896227056555660.2,1754.7888851989178,1689.5176157863987,286.9734907806031
79,212361113622.708,1896295424151094.2,1754.8148776587784,1689.532641693629,286.9618742940315
80,212361116283.792,1896363796105384.5,1754.8408716248016,1689.5476678736825,286.9502578399438
81,212361118944.876,1896432172419285.0,1754.8668670984034,1689.5626943256002,286.9386414183056
82,212361121605.96,1896500553093529.8,1754.8928640815911,1689.5777210476565,286.92702502910265
83,212361124267.044,1896568938128465.2,1754.918862574406,1689.5927480398086,286.9154086723618
84,212361126928.128,1896637327524265.5,1754.9448625750665,1689.6077753038173,286.9037923481221
85,212361129589.212,1896705721281354.2,1754.9708640826423,1689.6228028408423,286.8921760563958
86,212361132250.296,1896774119400515.0,1754.996867098581,1689.6378306498193,286.8805597971724
87,212361134911.38,1896842521882513.8,1755.0228716249865,1689.6528587288692,286.868943570456
88,212361137572.464,1896910928727726.2,1755.048877662016,1689.667887077812,286.8573273762794
89,212361140233.548,1896979339936330.0,1755.0748852079817,1689.6829156983413,286.84571121467235
90,212361142894.632,1897047755508740.2,1755.100894261994,1689.6979445916377,286.83409508562664
91,212361145555.716,1897116175445712.8,1755.1269048254771,1689.7129737567366,286.8224789891076
92,212361281271.0,1900602034419118.5,1756.4523996439939,1690.4792868616762,286.2300420295889
93,212361281271.0,1900602034419118.5,1756.4523996439939,1690.4792868616762,286.2300420295889
94,212361283932.084,1900670663734223.5,1756.4784754281452,1690.494333447922,286.21843080610637
95,212361286593.168,1900739312758593.2,1756.5045634302303,1690.5093784944208,286.20681680649125
