,Times,MoIs,a,b,c
0,212360616000.0,2.7750784238120835e+17,4750.0,4584.446642030246,784.7826086956521
1,212360618661.084,2.775085677042509e+17,4750.005080989276,4584.449655314478,784.780306037275
2,212360621322.168,2.7750930098543862e+17,4750.010222687226,4584.452677467416,784.7779820723006
3,212360623983.252,2.775100343774742e+17,4750.015365341309,4584.455699336795,784.7756579190022
4,212360626644.336,2.7751076777473126e+17,4750.02050803535,4584.458721202658,784.7733337644923
5,212360629305.42,2.7751150117544214e+17,4750.025650752668,4584.461743075221,784.7710096104241
6,212360631966.504,2.7751223457956877e+17,4750.030793492808,4584.4647649548015,784.7686854568183
7,212360634627.588,2.7751296798710685e+17,4750.035936255334,4584.4677868417975,784.766361303679
8,212360637288.672,2.775137013980562e+17,4750.04107904009,4584.47080873641,784.7640371510025
9,212360639949.756,2.7751443481242016e+17,4750.046221847413,4584.473830638372,784.7617129987801
10,212360642610.84,2.7751516823020054e+17,4750.05136467766,4584.476852547329,784.7593888470083
11,212360645271.924,2.7751590165139622e+17,4750.056507530707,4584.4798744633445,784.757064695692
12,212360647933.008,2.7751663507600253e+17,4750.061650406107,4584.482896386824,784.754740544837
13,212360650594.092,2.7751736850402035e+17,4750.066793303705,4584.485918317961,784.7524163944439
14,212360653255.176,2.7751810193545325e+17,4750.071936223843,4584.488940256467,784.750092244508
15,212360655916.26,2.7751883537030336e+17,4750.077079166901,4584.491962201956,784.7477680950291
16,212360658577.344,2.7751956880856874e+17,4750.082222132775,4584.494984154468,784.7454439460126
17,212360661238.428,2.775203022502461e+17,4750.087365121035,4584.498006114396,784.743119797463
18,212360663899.512,2.775210356953348e+17,4750.092508131526,4584.501028081942,784.7407956493761
19,212360666560.596,2.7752176914383834e+17,4750.097651164586,4584.504050056839,784.7384715017436
20,212360669221.68,2.7752250259575914e+17,4750.102794220574,4584.507072038729,784.7361473545615
21,212360671882.764,2.775232360510954e+17,4750.1079372993645,4584.510094027675,784.7338232078351
22,212360674543.848,2.775239695098424e+17,4750.1130804005115,4584.513116024088,784.7314990615703
23,212360677204.932,2.775247029720007e+17,4750.118223523853,4584.51613802816,784.7291749157671
24,212360679866.016,2.77525436437575e+17,4750.123366669738,4584.5191600396,784.7268507704215
25,212360682527.1,2.775261699065664e+17,4750.128509838546,4584.522182058024,784.7245266255329
26,212360685188.184,2.775269033789741e+17,4750.133653030173,4584.525204083466,784.7222024811068
27,212360687849.268,2.7752763685479338e+17,4750.138796244189,4584.5282261163275,784.7198783371477
28,212360690510.352,2.775283703340243e+17,4750.143939480435,4584.53124815681,784.7175541936516
