#t, 	mag
51.978, 22.541
51.978, 22.927
51.985, 22.381
51.985, 22.677
51.992, 22.245
51.992, 22.450
51.998, 22.112
51.999, 21.836
51.999, 22.328
52.002, 22.227
52.006, 21.813
52.006, 22.131
52.007, 21.921
52.013, 21.798
52.013, 22.010
52.020, 21.752
52.027, 21.760
52.034, 21.760
52.034, 22.018
52.036, 21.814
52.036, 22.051
52.043, 21.933
52.050, 21.759
52.050, 21.993
52.050, 22.153
52.057, 22.281
52.057, 22.524
52.064, 22.206
52.064, 22.531
52.064, 22.660
52.071, 22.372
52.071, 22.547
52.071, 22.660
52.078, 22.387
52.078, 22.569
52.078, 22.698
52.085, 22.266
52.085, 22.456
52.092, 22.410
52.092, 22.713
52.099, 22.600
52.099, 22.736
52.134, 23.077
52.134, 23.350
52.141, 22.986
52.141, 23.213
52.141, 23.426
52.141, 23.600
52.148, 23.221
52.148, 23.373
52.155, 23.433
52.155, 24.070
52.162, 24.403
52.169, 23.122
52.169, 24.070
52.176, 23.176
52.176, 23.479
52.183, 22.895
52.183, 23.115
52.183, 23.251
