UT,MJD,corrMMJD,rAU,dAU,aPh,Mag,corrm,sigma,Filt,flag
2017-10-27T04:20:41,58053.181,53.181,1.412,0.469,22.136,19.802,20.856,0.108,y,G3yl
2017-10-27T04:22:49,58053.183,53.182,1.412,0.469,22.136,19.788,20.842,0.118,y,G3yAglrs
2017-10-27T04:22:57,58053.183,53.182,1.412,0.469,22.136,20.43,21.484,0.1625,y,G3yl
2017-10-27T04:24:07,58053.183,53.183,1.412,0.469,22.136,19.793,20.847,0.1374,y,G3yl
2017-10-27T04:25:15,58053.184,53.184,1.412,0.469,22.136,19.703,20.757,0.1188,y,G3yl
2017-10-27T04:26:25,58053.185,53.185,1.412,0.469,22.136,19.197,20.251,0.0819,y,G3yl
2017-10-27T04:27:33,58053.186,53.185,1.412,0.469,22.136,20.255,21.309,0.1448,y,G3yl
2017-10-27T04:28:39,58053.187,53.186,1.412,0.469,22.136,21.842,22.896,0.3686,y,G3y
2017-10-27T04:29:50,58053.187,53.187,1.412,0.469,22.136,19.224,20.278,0.1236,y,G3yl
2017-10-27T04:30:59,58053.188,53.188,1.412,0.469,22.136,21.417,22.471,0.3708,y,G3y
2017-10-27T04:34:21,58053.191,53.19,1.412,0.469,22.136,21.482,22.536,0.3492,y,G3y
2017-10-27T04:35:49,58053.192,53.191,1.412,0.469,22.136,20.086,21.14,0.149,y,G3yAgrs
2017-10-27T04:36:41,58053.192,53.192,1.412,0.469,22.136,20.346,21.4,0.1574,y,G3yl
2017-10-27T04:37:49,58053.193,53.193,1.412,0.469,22.136,19.768,20.822,0.0932,y,G3yl
2017-10-27T04:38:56,58053.194,53.193,1.412,0.469,22.136,21.008,22.062,0.2219,y,G3yl
2017-10-27T04:40:09,58053.195,53.194,1.412,0.469,22.136,23.691,24.745,2.668,y,G3yl
2017-10-27T04:41:17,58053.195,53.195,1.412,0.469,22.136,22.711,23.765,1.0635,y,G3yl
2017-10-27T04:42:28,58053.196,53.196,1.412,0.469,22.136,20.788,21.842,0.1981,y,G3yl
2017-10-27T04:43:34,58053.197,53.197,1.412,0.469,22.136,21.653,22.707,0.433,y,G3y
2017-10-27T04:44:41,58053.198,53.197,1.412,0.469,22.136,21.489,22.543,0.3408,y,G3y
2017-10-27T04:47:43,58053.2,53.199,1.412,0.469,22.136,20.75,21.804,0.1945,y,G3yAgrs
2017-10-27T04:48:06,58053.2,53.2,1.412,0.469,22.136,21.611,22.665,0.4109,y,G3y
2017-10-27T04:49:13,58053.201,53.2,1.412,0.469,22.136,21.006,22.06,0.2307,y,G3yl
2017-10-27T04:50:19,58053.202,53.201,1.412,0.469,22.136,23.215,24.269,1.6476,y,G3yll
2017-10-27T04:51:29,58053.202,53.202,1.412,0.469,22.136,20.457,21.511,0.1549,y,G3yl
2017-10-27T04:53:48,58053.204,53.204,1.412,0.469,22.136,21.86,22.914,0.5323,y,G3y
2017-10-27T04:54:58,58053.205,53.204,1.412,0.469,22.136,22.313,23.367,0.7754,y,G3yl
2017-10-27T04:56:04,58053.206,53.205,1.412,0.469,22.136,21.557,22.611,0.4119,y,G3yl
2017-10-27T04:56:15,58053.206,53.205,1.412,0.469,22.136,22.262,22.556,0.11,r,Kbr
2017-10-27T04:56:15,58053.206,53.205,1.412,0.469,22.136,23.073,23.367,0.045,r,K3r
2017-10-27T04:57:11,58053.206,53.206,1.412,0.469,22.136,21.35,22.404,0.334,y,G3yl
2017-10-27T04:58:18,58053.207,53.207,1.412,0.469,22.136,23.206,24.26,1.9574,y,G3yl
2017-10-27T04:59:17,58053.208,53.207,1.412,0.469,22.136,21.695,22.299,0.106,i,Kbi
2017-10-27T04:59:17,58053.208,53.207,1.412,0.469,22.136,22.541,23.145,0.035,i,K3i
2017-10-27T04:59:26,58053.208,53.208,1.412,0.469,22.136,20.864,21.918,0.2375,y,G3yl
2017-10-27T05:00:32,58053.209,53.208,1.412,0.469,22.136,20.254,21.308,0.1162,y,G3yl
2017-10-27T05:01:59,58053.21,53.209,1.413,0.47,22.183,21.65,22.244,0.106,i,Kbi
2017-10-27T05:01:59,58053.21,53.209,1.413,0.47,22.183,22.496,23.09,0.035,i,K3i
2017-10-27T05:05:09,58053.212,53.212,1.413,0.47,22.183,22.461,23.505,0.9123,y,G3yl
2017-10-27T05:05:47,58053.212,53.212,1.413,0.47,22.183,20.681,21.725,0.198,y,G3yAgrs
2017-10-27T05:06:16,58053.213,53.212,1.413,0.47,22.183,20.774,21.818,0.2167,y,G3yl
2017-10-27T05:08:31,58053.214,53.214,1.413,0.47,22.183,20.698,21.742,0.2078,y,G3yl
2017-10-27T05:13:04,58053.217,53.217,1.413,0.47,22.183,21.267,22.311,0.3652,y,G3yl
2017-10-27T05:14:14,58053.218,53.218,1.413,0.47,22.183,20.818,21.862,0.2121,y,G3yl
2017-10-27T05:15:39,58053.219,53.219,1.413,0.47,22.183,23.124,23.408,0.1625,r,G3r
2017-10-27T05:16:47,58053.22,53.22,1.413,0.47,22.183,23.411,23.695,0.2048,r,G3r
2017-10-27T05:17:55,58053.221,53.22,1.413,0.47,22.183,23.393,23.677,0.2082,r,G3r
2017-10-27T05:19:05,58053.222,53.221,1.413,0.47,22.183,24.375,24.659,0.5054,r,G3r
2017-10-27T05:20:11,58053.222,53.222,1.413,0.47,22.183,23.456,23.74,0.2214,r,G3r
2017-10-27T05:21:21,58053.223,53.223,1.413,0.47,22.183,24.078,24.362,0.3902,r,G3r
2017-10-27T05:21:34,58053.223,53.223,1.413,0.47,22.183,23.241,23.835,0.167,i,Kbi
2017-10-27T05:21:34,58053.223,53.223,1.413,0.47,22.183,24.087,24.681,0.134,i,K3i
2017-10-27T05:22:31,58053.224,53.224,1.413,0.47,22.183,23.315,23.599,0.1958,r,G3r
2017-10-27T05:23:38,58053.225,53.224,1.413,0.47,22.183,23.914,24.198,0.3452,r,G3r
2017-10-27T05:24:45,58053.226,53.225,1.413,0.47,22.183,24.358,24.642,0.4279,r,G3r
2017-10-27T05:39:35,58053.236,53.235,1.413,0.47,22.183,24.739,24.97,0.5895,w,c3w
2017-10-27T05:41:27,58053.237,53.237,1.413,0.47,22.183,24.23,24.461,0.3689,w,c3w
2017-10-27T05:43:18,58053.238,53.238,1.413,0.47,22.183,25.023,25.254,0.7583,w,c3w
2017-10-27T05:45:10,58053.24,53.239,1.413,0.47,22.183,23.679,23.91,0.2214,w,c3w
2017-10-27T05:47:01,58053.241,53.241,1.413,0.47,22.183,23.834,24.065,0.2525,w,c3w
2017-10-27T05:48:52,58053.242,53.242,1.413,0.47,22.183,23.678,23.909,0.2199,w,c3w
2017-10-27T05:48:54,58053.242,53.242,1.413,0.47,22.183,22.773,23.057,0.11,r,Kbr
2017-10-27T05:48:54,58053.242,53.242,1.413,0.47,22.183,23.584,23.868,0.046,r,K3r
2017-10-27T05:50:45,58053.244,53.243,1.413,0.47,22.183,24.561,24.792,0.4929,w,c3w
2017-10-27T05:52:36,58053.245,53.244,1.413,0.47,22.183,23.641,23.872,0.2105,w,c3w
2017-10-27T05:53:59,58053.246,53.245,1.413,0.47,22.183,23.088,23.682,0.127,i,Kbi
2017-10-27T05:53:59,58053.246,53.245,1.413,0.47,22.183,23.934,24.528,0.079,i,K3i
2017-10-27T05:54:28,58053.246,53.246,1.413,0.47,22.183,23.465,23.696,0.1801,w,c3w
2017-10-27T05:56:19,58053.247,53.247,1.413,0.47,22.183,23.867,24.098,0.2555,w,c3w
2017-10-27T05:56:29,58053.248,53.247,1.413,0.47,22.183,22.97,23.254,0.113,r,Kbr
2017-10-27T05:56:29,58053.248,53.247,1.413,0.47,22.183,23.781,24.065,0.053,r,K3r
2017-10-27T05:58:11,58053.249,53.248,1.413,0.47,22.183,23.97,24.201,0.2842,w,c3w
2017-10-27T05:59:18,58053.25,53.249,1.413,0.47,22.183,22.504,23.098,0.114,i,Kbi
2017-10-27T05:59:18,58053.25,53.249,1.413,0.47,22.183,23.35,23.944,0.054,i,K3i
2017-10-27T06:00:02,58053.25,53.25,1.413,0.47,22.183,23.821,24.052,0.2493,w,c3w
2017-10-27T06:01:42,58053.251,53.251,1.414,0.472,22.228,22.906,23.18,0.112,r,Kbr
2017-10-27T06:01:42,58053.251,53.251,1.414,0.472,22.228,23.717,23.991,0.05,r,K3r
2017-10-27T06:01:54,58053.251,53.251,1.414,0.472,22.228,23.754,23.975,0.237,w,c3w
2017-10-27T06:03:45,58053.253,53.252,1.414,0.472,22.228,23.714,23.935,0.2255,w,c3w
2017-10-27T06:05:36,58053.254,53.253,1.414,0.472,22.228,23.198,23.419,0.1402,w,c3w
2017-10-27T06:07:28,58053.255,53.255,1.414,0.472,22.228,23.543,23.764,0.1936,w,c3w
2017-10-27T06:09:19,58053.256,53.256,1.414,0.472,22.228,23.455,23.676,0.18,w,c3w
2017-10-27T06:11:11,58053.258,53.257,1.414,0.472,22.228,23.423,23.644,0.168,w,c3w
2017-10-27T06:13:02,58053.259,53.259,1.414,0.472,22.228,22.956,23.177,0.1111,w,c3w
2017-10-27T06:14:54,58053.26,53.26,1.414,0.472,22.228,23.163,23.384,0.1356,w,c3w
2017-10-27T06:16:58,58053.262,53.261,1.414,0.472,22.228,22.966,23.187,0.1148,w,c3w
2017-10-27T06:27:47,58053.269,53.269,1.414,0.472,22.228,23.262,23.483,0.074,w,c3w
2017-10-27T06:30:34,58053.271,53.271,1.414,0.472,22.228,23.047,23.268,0.1218,w,c3w
2017-10-27T06:32:25,58053.273,53.272,1.414,0.472,22.228,22.833,23.054,0.1005,w,c3w
2017-10-27T06:34:17,58053.274,53.273,1.414,0.472,22.228,22.838,23.059,0.1002,w,c3w
2017-10-27T06:36:08,58053.275,53.275,1.414,0.472,22.228,22.733,22.954,0.0899,w,c3w
2017-10-27T06:38:00,58053.276,53.276,1.414,0.472,22.228,22.623,22.844,0.0826,w,c3w
2017-10-27T06:39:32,58053.277,53.277,1.414,0.472,22.228,22.6,22.714,0.26,Uz,U3z
2017-10-27T06:39:51,58053.278,53.277,1.414,0.472,22.228,22.491,22.712,0.0731,w,c3w
2017-10-27T06:41:43,58053.279,53.279,1.414,0.472,22.228,22.514,22.735,0.0748,w,c3w
2017-10-27T06:43:35,58053.28,53.28,1.414,0.472,22.228,22.54,22.761,0.0766,w,c3w
2017-10-27T06:45:26,58053.282,53.281,1.414,0.472,22.228,22.338,22.559,0.0634,w,c3w
2017-10-27T06:47:18,58053.283,53.282,1.414,0.472,22.228,22.369,22.59,0.064,w,c3w
2017-10-27T06:49:09,58053.284,53.284,1.414,0.472,22.228,22.245,22.466,0.0574,w,c3w
2017-10-27T06:51:01,58053.285,53.285,1.414,0.472,22.228,22.258,22.479,0.0576,w,c3w
2017-10-27T06:52:52,58053.287,53.286,1.414,0.472,22.228,22.222,22.443,0.0567,w,c3w
2017-10-27T06:56:21,58053.289,53.289,1.414,0.472,22.228,22.059,22.28,0.0275,w,c3w
2017-10-27T07:00:03,58053.292,53.291,1.414,0.472,22.228,22.126,22.347,0.0289,w,c3w
2017-10-27T07:03:27,58053.294,53.294,1.415,0.473,22.273,21.8,22.304,0.28,Uy,U3y
2017-10-27T07:03:44,58053.294,53.294,1.415,0.473,22.273,22.154,22.365,0.0289,w,c3w
2017-10-27T07:07:26,58053.297,53.296,1.415,0.473,22.273,22.093,22.304,0.0284,w,c3w
2017-10-27T07:11:08,58053.299,53.299,1.415,0.473,22.273,22.1,22.311,0.0292,w,c3w
2017-10-27T07:14:49,58053.302,53.302,1.415,0.473,22.273,22.125,22.336,0.0318,w,c3w
2017-10-27T07:18:31,58053.305,53.304,1.415,0.473,22.273,22.071,22.282,0.0303,w,c3w
2017-10-27T07:22:12,58053.307,53.307,1.415,0.473,22.273,22.1,22.311,0.0317,w,c3w
2017-10-27T07:25:53,58053.31,53.309,1.415,0.473,22.273,22.145,22.356,0.0344,w,c3w
2017-10-27T07:29:35,58053.312,53.312,1.415,0.473,22.273,22.141,22.352,0.0328,w,c3w
2017-10-27T07:32:50,58053.314,53.314,1.415,0.473,22.273,22.2,22.304,0.24,Uz,U3z
2017-10-27T07:33:16,58053.315,53.314,1.415,0.473,22.273,21.996,22.207,0.0281,w,c3w
2017-10-27T07:34:53,58053.316,53.315,1.415,0.473,22.273,22.06271838,22.327,0.0585,r,GN3r
2017-10-27T07:35:37,58053.316,53.316,1.415,0.473,22.273,22.16525277,22.429,0.0643,r,GN3r
2017-10-27T07:36:58,58053.317,53.317,1.415,0.473,22.273,22.09,22.301,0.0305,w,c3w
2017-10-27T07:40:40,58053.32,53.319,1.415,0.473,22.273,22.163,22.374,0.032,w,c3w
2017-10-27T07:44:21,58053.322,53.322,1.415,0.473,22.273,22.164,22.375,0.0264,w,c3w
2017-10-27T07:48:02,58053.325,53.325,1.415,0.473,22.273,22.261,22.472,0.0352,w,c3w
2017-10-27T07:51:46,58053.328,53.327,1.415,0.473,22.273,22.162,22.373,0.0321,w,c3w
2017-10-27T07:55:28,58053.33,53.33,1.415,0.473,22.273,22.316,22.527,0.0368,w,c3w
2017-10-27T07:59:09,58053.333,53.332,1.415,0.473,22.273,22.342,22.553,0.0372,w,c3w
2017-10-27T08:02:50,58053.335,53.335,1.416,0.475,22.317,22.443,22.644,0.0421,w,c3w
2017-10-27T08:03:57,58053.336,53.336,1.416,0.475,22.317,22.1,22.594,0.25,Uy,U3y
2017-10-27T08:06:32,58053.338,53.337,1.416,0.475,22.317,22.419,22.62,0.0398,w,c3w
2017-10-27T08:10:14,58053.34,53.34,1.416,0.475,22.317,22.552,22.753,0.0457,w,c3w
2017-10-27T08:13:55,58053.343,53.343,1.416,0.475,22.317,22.503,22.704,0.0438,w,c3w
2017-10-27T08:17:37,58053.346,53.345,1.416,0.475,22.317,22.52,22.721,0.0442,w,c3w
2017-10-27T08:21:18,58053.348,53.348,1.416,0.475,22.317,22.468,22.669,0.0497,w,c3w
2017-10-27T08:25:00,58053.351,53.35,1.416,0.475,22.317,22.846,23.047,0.0587,w,c3w
2017-10-27T08:28:05,58053.353,53.352,1.416,0.475,22.317,22.6,22.694,0.3,Uz,U3z
2017-10-27T08:28:41,58053.353,53.353,1.416,0.475,22.317,22.845,23.046,0.0601,w,c3w
2017-10-27T08:32:22,58053.356,53.355,1.416,0.475,22.317,22.82,23.021,0.0588,w,c3w
2017-10-27T08:36:16,58053.359,53.358,1.416,0.475,22.317,22.912,23.113,0.0629,w,c3w
2017-10-27T08:39:57,58053.361,53.361,1.416,0.475,22.317,22.951,23.152,0.0643,w,c3w
2017-10-27T08:43:39,58053.364,53.363,1.416,0.475,22.317,23.148,23.349,0.0787,w,c3w
2017-10-27T08:47:20,58053.366,53.366,1.416,0.475,22.317,23.324,23.525,0.0935,w,c3w
2017-10-27T08:51:19,58053.369,53.369,1.416,0.475,22.317,23.616,23.817,0.1182,w,c3w
2017-10-27T08:55:01,58053.372,53.371,1.416,0.475,22.317,23.72,23.921,0.1326,w,c3w
2017-10-27T08:58:43,58053.374,53.374,1.416,0.475,22.317,23.801,24.002,0.1507,w,c3w
2017-10-27T09:02:24,58053.377,53.376,1.417,0.476,22.36,23.926,24.118,0.1621,w,c3w
2017-10-27T09:06:05,58053.379,53.379,1.417,0.476,22.36,23.979,24.171,0.1736,w,c3w
2017-10-27T09:09:47,58053.382,53.381,1.417,0.476,22.36,24.706,24.898,0.3366,w,c3w
2017-10-27T09:13:28,58053.384,53.384,1.417,0.476,22.36,24.389,24.581,0.2533,w,c3w
2017-10-27T09:17:09,58053.387,53.386,1.417,0.476,22.36,24.59,24.782,0.2999,w,c3w
2017-10-27T09:20:52,58053.389,53.389,1.417,0.476,22.36,23.556,23.748,0.1241,w,c3w
2017-10-27T09:32:09,58053.397,53.397,1.417,0.476,22.36,23.44,23.632,0.1025,w,c3w
2017-10-27T09:33:52,58053.399,53.398,1.417,0.476,22.36,23.54843752,23.793,0.2175,r,GN3r
2017-10-27T09:35:50,58053.4,53.399,1.417,0.476,22.36,23.636,23.828,0.1268,w,c3w
2017-10-27T09:35:53,58053.4,53.399,1.417,0.476,22.36,23.61967152,23.864,0.1951,r,GN3r
2017-10-27T09:37:01,58053.401,53.4,1.417,0.476,22.36,23.48769752,23.732,0.1684,r,GN3r
2017-10-27T09:38:06,58053.401,53.401,1.417,0.476,22.36,23.26522765,23.51,0.1338,r,GN3r
2017-10-27T09:39:11,58053.402,53.402,1.417,0.476,22.36,23.30205429,23.547,0.1463,r,GN3r
2017-10-27T09:39:32,58053.402,53.402,1.417,0.476,22.36,23.706,23.898,0.1273,w,c3w
2017-10-27T09:40:16,58053.403,53.403,1.417,0.476,22.36,23.33987612,23.584,0.1514,r,GN3r
2017-10-27T09:41:21,58053.404,53.403,1.417,0.476,22.36,23.13369917,23.378,0.1225,r,GN3r
2017-10-27T09:42:26,58053.404,53.404,1.417,0.476,22.36,23.46401289,23.709,0.1604,r,GN3r
2017-10-27T09:43:13,58053.405,53.405,1.417,0.476,22.36,23.575,23.767,0.1065,w,c3w
2017-10-27T09:43:31,58053.405,53.405,1.417,0.476,22.36,23.05112346,23.296,0.1104,r,GN3r
2017-10-27T09:44:35,58053.406,53.406,1.417,0.476,22.36,23.2096297,23.454,0.1275,r,GN3r
2017-10-27T09:45:40,58053.407,53.406,1.417,0.476,22.36,22.88043686,23.125,0.0921,r,GN3r
2017-10-27T09:46:45,58053.407,53.407,1.417,0.476,22.36,23.13343378,23.378,0.1157,r,GN3r
2017-10-27T09:46:54,58053.408,53.407,1.417,0.476,22.36,23.436,23.628,0.0945,w,c3w
2017-10-27T09:47:51,58053.408,53.408,1.417,0.476,22.36,23.17682254,23.421,0.1238,r,GN3r
2017-10-27T09:48:56,58053.409,53.409,1.417,0.476,22.36,22.76731179,23.012,0.0833,r,GN3r
2017-10-27T09:50:03,58053.41,53.409,1.417,0.476,22.36,23.31999042,23.565,0.1366,r,GN3r
2017-10-27T09:50:36,58053.41,53.41,1.417,0.476,22.36,23.339,23.531,0.0855,w,c3w
2017-10-27T09:51:08,58053.411,53.41,1.417,0.476,22.36,23.02847067,23.273,0.1054,r,GN3r
2017-10-27T09:52:13,58053.411,53.411,1.417,0.476,22.36,23.19904735,23.444,0.1229,r,GN3r
2017-10-27T09:53:18,58053.412,53.412,1.417,0.476,22.36,23.05672011,23.301,0.105,r,GN3r
2017-10-27T09:54:18,58053.413,53.412,1.417,0.476,22.36,23.209,23.401,0.0764,w,c3w
2017-10-27T09:54:23,58053.413,53.412,1.417,0.476,22.36,22.90099282,23.146,0.0995,r,GN3r
2017-10-27T09:55:27,58053.414,53.413,1.417,0.476,22.36,22.79775551,23.042,0.0858,r,GN3r
2017-10-27T09:56:35,58053.414,53.414,1.417,0.476,22.36,22.77049788,23.015,0.0813,r,GN3r
2017-10-27T09:57:40,58053.415,53.415,1.417,0.476,22.36,22.85095086,23.096,0.0849,r,GN3r
2017-10-27T09:57:59,58053.415,53.415,1.417,0.476,22.36,23.295,23.487,0.0792,w,c3w
2017-10-27T09:59:53,58053.417,53.416,1.417,0.476,22.36,22.9784302,23.223,0.101,r,GN3r
2017-10-27T10:00:59,58053.417,53.417,1.418,0.477,22.403,22.71186334,22.947,0.0773,r,GN3r
2017-10-27T10:01:51,58053.418,53.418,1.418,0.477,22.403,23.032,23.214,0.0645,w,c3w
2017-10-27T10:02:05,58053.418,53.418,1.418,0.477,22.403,22.59199031,22.827,0.0715,r,GN3r
2017-10-27T10:03:11,58053.419,53.418,1.418,0.477,22.403,22.7116186,22.946,0.0773,r,GN3r
2017-10-27T10:04:17,58053.42,53.419,1.418,0.477,22.403,22.52933591,22.764,0.0696,r,GN3r
2017-10-27T10:05:23,58053.42,53.42,1.418,0.477,22.403,22.58064794,22.816,0.0749,r,GN3r
2017-10-27T10:05:32,58053.421,53.42,1.418,0.477,22.403,22.689,22.871,0.0479,w,c3w
2017-10-27T10:06:28,58053.421,53.421,1.418,0.477,22.403,22.49036116,22.725,0.0673,r,GN3r
2017-10-27T10:07:35,58053.422,53.421,1.418,0.477,22.403,22.36916251,22.604,0.0604,r,GN3r
2017-10-27T10:08:40,58053.423,53.422,1.418,0.477,22.403,22.39706575,22.632,0.0603,r,GN3r
2017-10-27T10:09:14,58053.423,53.423,1.418,0.477,22.403,22.669,22.851,0.0455,w,c3w
2017-10-27T10:09:46,58053.423,53.423,1.418,0.477,22.403,22.41105555,22.646,0.0628,r,GN3r
2017-10-27T10:10:52,58053.424,53.424,1.418,0.477,22.403,22.39664167,22.632,0.062,r,GN3r
2017-10-27T10:11:59,58053.425,53.425,1.418,0.477,22.403,22.28821939,22.523,0.0563,r,GN3r
2017-10-27T10:12:58,58053.426,53.425,1.418,0.477,22.403,22.442,22.624,0.041,w,c3w
2017-10-27T10:13:04,58053.426,53.425,1.418,0.477,22.403,22.21640074,22.451,0.0529,r,GN3r
2017-10-27T10:14:11,58053.427,53.426,1.418,0.477,22.403,22.23626291,22.471,0.0538,r,GN3r
2017-10-27T10:15:16,58053.427,53.427,1.418,0.477,22.403,22.1720326,22.407,0.0509,r,GN3r
2017-10-27T10:16:23,58053.428,53.428,1.418,0.477,22.403,22.2182872,22.453,0.053,r,GN3r
2017-10-27T10:16:40,58053.428,53.428,1.418,0.477,22.403,22.442,22.624,0.0376,w,c3w
2017-10-27T10:17:29,58053.429,53.428,1.418,0.477,22.403,22.23313838,22.468,0.0522,r,GN3r
2017-10-27T10:18:35,58053.43,53.429,1.418,0.477,22.403,22.21038268,22.445,0.0541,r,GN3r
2017-10-27T10:19:41,58053.43,53.43,1.418,0.477,22.403,22.15502097,22.39,0.0502,r,GN3r
2017-10-27T10:20:21,58053.431,53.43,1.418,0.477,22.403,22.453,22.635,0.0377,w,c3w
2017-10-27T10:20:47,58053.431,53.431,1.418,0.477,22.403,22.2368594,22.472,0.0526,r,GN3r
2017-10-27T10:21:53,58053.432,53.431,1.418,0.477,22.403,22.21368447,22.449,0.0529,r,GN3r
2017-10-27T10:22:59,58053.433,53.432,1.418,0.477,22.403,22.11220532,22.347,0.0472,r,GN3r
2017-10-27T10:24:04,58053.433,53.433,1.418,0.477,22.403,22.512,22.694,0.0384,w,c3w
2017-10-27T10:24:04,58053.433,53.433,1.418,0.477,22.403,22.18592749,22.421,0.0517,r,GN3r
2017-10-27T10:25:09,58053.434,53.434,1.418,0.477,22.403,22.18585063,22.421,0.0517,r,GN3r
2017-10-27T10:26:14,58053.435,53.434,1.418,0.477,22.403,22.17215814,22.407,0.0511,r,GN3r
2017-10-27T10:27:19,58053.436,53.435,1.418,0.477,22.403,22.1323614,22.367,0.0481,r,GN3r
2017-10-27T10:27:45,58053.436,53.435,1.418,0.477,22.403,22.38,22.562,0.0379,w,c3w
2017-10-27T10:28:24,58053.436,53.436,1.418,0.477,22.403,22.17985713,22.415,0.0515,r,GN3r
2017-10-27T10:29:28,58053.437,53.437,1.418,0.477,22.403,22.09665516,22.332,0.0471,r,GN3r
2017-10-27T10:30:34,58053.438,53.437,1.418,0.477,22.403,22.16942916,22.404,0.0497,r,GN3r
2017-10-27T10:31:26,58053.438,53.438,1.418,0.477,22.403,22.352,22.534,0.0343,w,c3w
2017-10-27T10:31:41,58053.439,53.438,1.418,0.477,22.403,22.18188581,22.417,0.0545,r,GN3r
2017-10-27T10:32:46,58053.439,53.439,1.418,0.477,22.403,22.00465421,22.24,0.0443,r,GN3r
2017-10-27T10:33:52,58053.44,53.44,1.418,0.477,22.403,22.08881277,22.324,0.0489,r,GN3r
2017-10-27T10:34:57,58053.441,53.44,1.418,0.477,22.403,21.91806667,22.153,0.0434,r,GN3r
2017-10-27T10:37:09,58053.442,53.442,1.418,0.477,22.403,21.99303148,22.228,0.0439,r,GN3r
2017-10-27T10:38:15,58053.443,53.443,1.418,0.477,22.403,21.8526612,22.088,0.0399,r,GN3r
2017-10-27T10:38:50,58053.444,53.443,1.418,0.477,22.403,22.108,22.29,0.0281,w,c3w
2017-10-27T10:39:20,58053.444,53.444,1.418,0.477,22.403,21.79448425,22.029,0.0379,r,GN3r
2017-10-27T10:40:27,58053.445,53.444,1.418,0.477,22.403,21.88068078,22.116,0.042,r,GN3r
2017-10-27T10:41:32,58053.446,53.445,1.418,0.477,22.403,21.80968816,22.045,0.0375,r,GN3r
2017-10-27T10:42:31,58053.446,53.446,1.418,0.477,22.403,21.976,22.158,0.0253,w,c3w
2017-10-27T10:42:37,58053.446,53.446,1.418,0.477,22.403,21.77429667,22.009,0.0383,r,GN3r
2017-10-27T10:43:42,58053.447,53.447,1.418,0.477,22.403,21.72178795,21.957,0.0366,r,GN3r
2017-10-27T10:44:49,58053.448,53.447,1.418,0.477,22.403,21.71814853,21.953,0.0356,r,GN3r
2017-10-27T10:45:54,58053.449,53.448,1.418,0.477,22.403,21.72662321,21.961,0.0341,r,GN3r
2017-10-27T10:46:24,58053.449,53.448,1.418,0.477,22.403,21.886,22.068,0.0244,w,c3w
2017-10-27T10:47:00,58053.449,53.449,1.418,0.477,22.403,21.66968636,21.905,0.0342,r,GN3r
2017-10-27T10:48:05,58053.45,53.45,1.418,0.477,22.403,21.62774472,21.863,0.0314,r,GN3r
2017-10-27T10:49:11,58053.451,53.45,1.418,0.477,22.403,21.61248162,21.847,0.0318,r,GN3r
2017-10-27T10:50:10,58053.452,53.451,1.418,0.477,22.403,21.794,21.976,0.0229,w,c3w
2017-10-27T10:50:16,58053.452,53.451,1.418,0.477,22.403,21.56582188,21.801,0.0307,r,GN3r
2017-10-27T10:51:21,58053.452,53.452,1.418,0.477,22.403,21.53576315,21.771,0.0305,r,GN3r
2017-10-27T10:53:33,58053.454,53.453,1.418,0.477,22.403,21.5680693,21.803,0.0307,r,GN3r
2017-10-27T10:53:55,58053.454,53.454,1.418,0.477,22.403,21.843,22.025,0.0227,w,c3w
2017-10-27T10:54:38,58053.455,53.454,1.418,0.477,22.403,21.57377372,21.809,0.0324,r,GN3r
2017-10-27T10:55:43,58053.455,53.455,1.418,0.477,22.403,21.60647751,21.841,0.0325,r,GN3r
2017-10-27T10:56:48,58053.456,53.456,1.418,0.477,22.403,21.5304601,21.765,0.0305,r,GN3r
2017-10-27T10:57:36,58053.457,53.456,1.418,0.477,22.403,21.755,21.937,0.0211,w,c3w
2017-10-27T10:57:55,58053.457,53.456,1.418,0.477,22.403,21.59520596,21.83,0.0323,r,GN3r
2017-10-27T10:59:01,58053.458,53.457,1.418,0.477,22.403,21.51965563,21.755,0.0288,r,GN3r
2017-10-27T11:00:07,58053.458,53.458,1.418,0.477,22.403,21.54760557,21.782,0.031,r,GN3r
2017-10-27T11:01:12,58053.459,53.459,1.419,0.479,22.446,21.55994806,21.785,0.0306,r,GN3r
2017-10-27T11:02:19,58053.46,53.459,1.419,0.479,22.446,21.56675255,21.792,0.0316,r,GN3r
2017-10-27T11:03:26,58053.461,53.46,1.419,0.479,22.446,21.52564739,21.751,0.0297,r,GN3r
2017-10-27T11:04:32,58053.461,53.461,1.419,0.479,22.446,21.54515436,21.77,0.0318,r,GN3r
2017-10-27T11:05:38,58053.462,53.462,1.419,0.479,22.446,21.60323778,21.828,0.0326,r,GN3r
2017-10-27T11:06:45,58053.463,53.463,1.419,0.479,22.446,21.56539682,21.791,0.033,r,GN3r
2017-10-27T11:07:51,58053.464,53.463,1.419,0.479,22.446,21.59155734,21.817,0.034,r,GN3r
2017-10-27T11:08:58,58053.465,53.464,1.419,0.479,22.446,21.61570205,21.841,0.0331,r,GN3r
2017-10-27T11:10:04,58053.465,53.465,1.419,0.479,22.446,21.6115384,21.837,0.033,r,GN3r
2017-10-27T11:11:11,58053.466,53.466,1.419,0.479,22.446,21.67874555,21.904,0.0358,r,GN3r
2017-10-27T11:12:17,58053.467,53.466,1.419,0.479,22.446,21.68615473,21.911,0.037,r,GN3r
