,Time,Magnitude,msig
0,51.044,-0.3376064848342097,1.0
1,51.048,-0.30933348111918385,1.0
2,51.048,-0.23134768498749397,1.0
3,51.052,-0.31880892127640914,1.0
4,51.056,-0.19346849046130024,1.0
5,51.06,-0.1842771177146646,1.0
6,51.06,-0.0872096906145845,1.0
7,51.064,-0.19043401335564816,1.0
8,51.064,-0.021188243027301587,1.0
9,51.068,-0.077538124476449,1.0
10,51.068,0.019529302623632547,1.0
11,51.072,-0.05548739172937433,1.0
12,51.072,0.0851359321463847,1.0
13,51.076,0.016341508761331953,1.0
14,51.076,0.11963120682936618,1.0
15,51.076,0.3357514184496319,1.0
16,51.084,0.3856603368472032,1.0
17,51.088,0.5392083960503674,1.0
18,51.096,0.5297983312201127,1.0
19,51.096,0.7550445402600435,1.0
20,51.1,0.4547816368671043,1.0
21,51.1,0.6771241194553242,1.0
22,51.104,0.3171274147700297,1.0
23,51.104,0.48637318509837485,1.0
24,51.104,0.6518855928459489,1.0
25,51.108,0.3549412339692514,1.0
26,51.108,0.5270907307493105,1.0
27,51.108,0.6614917836571138,1.0
28,51.112,0.3861179641359927,1.0
29,51.112,0.527156106076281,1.0
30,51.112,0.6897647873721426,1.0
31,51.116,0.32354581171889407,1.0
32,51.116,0.4488208672070324,1.0
33,51.116,0.5960812801152748,1.0
34,51.12,0.3111666451099549,1.0
35,51.978,-0.13069540017374262,1.0
36,51.978,0.029424372734937386,1.0
37,51.985,-0.19695188367638655,1.0
38,51.985,-0.07416573657542985,1.0
39,51.992,-0.2532527336303038,1.0
40,51.992,-0.16821503040160124,1.0
41,51.998,-0.30832547322237513,1.0
42,51.999,-0.42279891520098345,1.0
43,51.999,-0.21870842745209518,1.0
44,52.002,-0.2605560204744239,1.0
45,52.006,-0.432225323862983,1.0
46,52.006,-0.3003131793423598,1.0
47,52.007,-0.3874086290619713,1.0
48,52.013,-0.4383331880087394,1.0
49,52.013,-0.3503917583283229,1.0
50,52.02,-0.4573004121549334,1.0
51,52.027,-0.45386746081649243,1.0
52,52.034,-0.45375305399429616,1.0
53,52.034,-0.3467299933454895,1.0
54,52.036,-0.43132019084617745,1.0
55,52.036,-0.33300830955250654,1.0
56,52.043,-0.3818424343448789,1.0
57,52.05,-0.4539063707509462,1.0
58,52.05,-0.3568389436508661,1.0
59,52.05,-0.29046805332602443,1.0
60,52.057,-0.23725693424395336,1.0
61,52.057,-0.13645614456309935,1.0
62,52.064,-0.26825388226152486,1.0
63,52.064,-0.13343801128919064,1.0
64,52.064,-0.07992648096478656,1.0
65,52.071,-0.19927967672730526,1.0
66,52.071,-0.12668651543450948,1.0
