#t, 	mag
51.044, 22.079
51.048, 22.147
51.048, 22.335
51.052, 22.124
51.056, 22.426
51.060, 22.448
51.060, 22.682
51.064, 22.433
51.064, 22.841
51.068, 22.705
51.068, 22.939
51.072, 22.758
51.072, 23.097
51.076, 22.931
51.076, 23.180
51.076, 23.701
51.084, 23.821
51.088, 24.191
51.096, 24.168
51.096, 24.711
51.100, 23.987
51.100, 24.523
51.104, 23.655
51.104, 24.063
51.104, 24.462
51.108, 23.746
51.108, 24.161
51.108, 24.485
51.112, 23.821
51.112, 24.161
51.112, 24.553
51.116, 23.670
51.116, 23.972
51.116, 24.327
51.120, 23.640
