#t, 	mag
53.077, 23.925
53.080, 24.058
53.094, 24.066
53.094, 24.384
53.101, 24.051
53.108, 23.392
53.108, 23.907
53.115, 23.369
53.115, 23.687
53.122, 22.672
53.129, 22.392
53.129, 22.801
53.136, 22.263
53.143, 22.286
53.150, 22.377
53.157, 22.203
53.178, 22.165
53.185, 22.619
53.185, 22.937
53.192, 22.551
53.199, 22.634
53.206, 23.013
53.220, 23.952
53.221, 24.664
53.227, 24.210
53.234, 24.414
53.234, 24.952
53.241, 23.392
53.241, 23.990
53.241, 25.217
53.242, 24.756
53.248, 23.748
53.248, 24.126
53.248, 24.551
53.255, 23.574
53.255, 23.884
53.262, 23.255
53.269, 23.369
53.276, 22.816
53.283, 22.574
53.290, 22.286
53.297, 22.309
53.304, 22.271
53.311, 22.157
53.325, 22.430
53.332, 22.551
53.339, 22.672
53.346, 22.687
53.353, 22.869
53.360, 23.180
53.367, 23.521
53.367, 23.801
53.374, 23.967
53.381, 24.331
53.381, 24.891
53.388, 23.725
53.388, 24.763
53.395, 23.619
53.416, 23.460
53.430, 22.642
53.437, 22.559
53.456, 21.987
53.315, 22.392
53.320, 22.445
53.400, 23.748
53.405, 23.165
53.405, 23.611
53.410, 23.180
53.410, 23.543
53.415, 23.134
53.420, 22.809
53.425, 22.642
53.430, 22.301
53.435, 22.437
53.440, 22.354
53.445, 22.134
53.450, 22.006
53.455, 21.900
53.465, 21.847
53.470, 21.900
53.475, 22.112
53.480, 22.044
53.485, 22.089
53.490, 22.165
53.495, 22.210
53.500, 22.309
53.505, 22.453
53.510, 22.634
53.510, 22.930
53.515, 22.862
53.515, 23.195
53.520, 23.081
53.520, 23.657
53.525, 23.460
53.525, 23.922
53.530, 23.490
53.530, 24.058
53.535, 24.134
