,Time,Magnitude
232,2458054.86,22.931
233,2458054.862,22.707
234,2458054.865,22.924
235,2458054.87,22.606
236,2458054.875,22.5
237,2458054.88,22.287
238,2458054.885,22.174
239,2458054.89,22.068
240,2458054.895,21.962
241,2458054.9,21.947
242,2458054.905,21.81
243,2458054.91,21.81
244,2458054.925,21.742
245,2458054.93,21.81
246,2458054.935,21.969
247,2458054.94,22.136
248,2458054.945,22.303
249,2458054.945,22.606
250,2458054.95,22.681
251,2458054.955,22.856
252,2458054.955,23.242
253,2458054.96,22.962
254,2458054.96,23.348
255,2458054.965,23.272
256,2458054.965,23.666
257,2458054.97,23.34
258,2458054.97,23.802
259,2458054.975,23.401
260,2458054.975,24.09
261,2458054.978,23.866
262,2458054.98,23.658
263,2458054.98,24.12
264,2458054.98,24.537
265,2458054.985,23.484
266,2458054.985,23.954
267,2458054.985,24.408
268,2458054.99,23.105
269,2458054.99,23.954
270,2458054.995,22.787
271,2458054.995,23.295
272,2458054.995,23.87
273,2458055.0,22.765
274,2458055.005,22.878
275,2458055.005,23.189
276,2458055.01,22.727
277,2458055.015,22.666
278,2458055.02,22.553
279,2458055.732,22.931
280,2458055.756,22.575
281,2458055.764,22.212
282,2458055.764,22.545
283,2458055.772,22.06
284,2458055.788,21.947
285,2458055.788,22.265
286,2458055.796,21.954
287,2458055.804,21.712
288,2458055.808,22.007
289,2458055.812,21.765
290,2458055.812,22.181
291,2458055.82,21.394
292,2458055.82,21.916
293,2458055.82,22.454
294,2458055.828,22.303
295,2458055.836,22.462
296,2458055.844,22.939
297,2458055.852,23.257
298,2458056.324,22.197
299,2458056.338,22.166
300,2458056.345,22.553
301,2458056.359,22.84
302,2458056.373,23.121
303,2458056.471,21.833
304,2458056.59,22.022
305,2458056.597,21.848
306,2458056.674,22.643
307,2458056.681,23.03
308,2458056.688,22.886
309,2458056.695,23.06
310,2458056.702,23.121
311,2458056.709,23.212
312,2458056.709,23.507
313,2458056.716,23.651
314,2458056.723,23.757
315,2458056.723,24.196
316,2458056.73,23.946
317,2458056.73,24.211
318,2458056.737,23.537
319,2458056.737,24.06
320,2458056.741,23.787
321,2458056.746,23.47
322,2458056.749,23.22
323,2458056.751,23.333
324,2458056.758,22.606
325,2458056.758,23.295
326,2458056.765,22.749
327,2458056.768,22.877
328,2458056.772,22.765
329,2458056.773,22.613
330,2458056.779,22.356
331,2458056.779,22.886
332,2458056.786,22.893
333,2458056.788,22.402
334,2458056.79,22.521
335,2458078.525,22.409
336,2458078.537,21.881
337,2458078.554,22.092
338,2458078.576,21.934
339,2458078.633,21.275
340,2458078.639,21.341
341,2458078.645,21.393
342,2458078.646,21.275
343,2458078.652,21.288
344,2458078.66,21.446
345,2458078.707,21.591
346,2458078.715,21.486
347,2458078.726,21.407
348,2458079.717,22.513
349,2458079.739,22.446
350,2458079.762,22.169
351,2458079.788,22.313
352,2458079.81,22.353
353,2458080.024,21.913
354,2458080.036,21.622
355,2458080.043,21.503
356,2458080.05,21.398
357,2458080.762,22.132
358,2458080.766,22.066
359,2458080.772,22.382
360,2458080.777,22.264
361,2458080.781,22.053
362,2458080.786,22.105
363,2458080.867,22.541
