,Times,MoIs,a,b,c
0,212360616000.0,2.888530457228847e+18,7500.0,7228.8445004813575,1239.1304347826085
1,212360618857.32,2.888546127965524e+18,7500.017425043298,7228.858018676213,1239.1215340035048
2,212360621714.64,2.888562136149147e+18,7500.03530036313,7228.871728598177,1239.1124301917034
3,212360624571.96,2.8885781519450424e+18,7500.053190412247,7228.885437961161,1239.1033219395492
4,212360627429.28,2.8885941680994524e+18,7500.071081218313,7228.89914712989,1239.0942135912444
5,212360630286.6,2.888610184445971e+18,7500.08897222315,7228.912856357613,1239.0851052420353
6,212360633143.92,2.8886262009804416e+18,7500.106863401192,7228.926565662744,1239.0759968940706
7,212360636001.24,2.8886422177028326e+18,7500.1247547530365,7228.940275044585,1239.0668885473938
8,212360638858.56,2.888658234613155e+18,7500.142646279312,7228.953984502433,1239.057780202003
9,212360641715.88,2.8886742517113503e+18,7500.160537978515,7228.967694037653,1239.0486718579048
10,212360644573.2,2.8886902689973847e+18,7500.178429849021,7228.981403651858,1239.0395635151067
11,212360647430.52,2.8887062864712586e+18,7500.196321891333,7228.995113344683,1239.030455173607
12,212360650287.84,2.8887223041330606e+18,7500.214214107393,7229.008823114287,1239.021346833397
13,212360653145.16,2.888738321982816e+18,7500.2321064979005,7229.022532959899,1239.0122384944734
14,212360656002.48,2.888754340020465e+18,7500.249999061351,7229.036242882885,1239.0031301568429
15,212360658859.8,2.8887703582459653e+18,7500.2678917961175,7229.049952884863,1238.9940218205127
16,212360661717.12,2.888786376659324e+18,7500.2857847027035,7229.063662965467,1238.9849134854812
17,212360664574.44,2.8888023952606295e+18,7500.303677783056,7229.077373122851,1238.9758051517401
18,212360667431.76,2.888818414049902e+18,7500.321571037877,7229.09108335624,1238.9666968192857
19,212360670289.08,2.8888344330270986e+18,7500.339464465659,7229.104793667006,1238.9575884881247
20,212360673146.4,2.888850452192151e+18,7500.357358064768,7229.118504056771,1238.9484801582644
21,212360676003.72,2.88886647154508e+18,7500.37525183571,7229.132214525167,1238.9393718297033
22,212360678861.04,2.8888824910859756e+18,7500.3931457804365,7229.145925070343,1238.9302635024328
23,212360681718.36,2.888898510814858e+18,7500.411039899655,7229.1596356915215,1238.9211551764495
24,212360684575.68,2.888914530731676e+18,7500.428934191851,7229.173346390078,1238.9120468517597
25,212360687433.0,2.888930550836369e+18,7500.446828655386,7229.187057167642,1238.9029385283714
