,0,1
0,212360616000.0,2.888530457228847e+18
1,212360618857.32,2.8892519266273126e+18
2,212360621714.64,2.890652927570496e+18
3,212360624571.96,2.892700928732917e+18
4,212360627429.28,2.8953664627620915e+18
5,212360630286.6,2.898622329979592e+18
6,212360633143.92,2.902443275112968e+18
7,212360636001.24,2.9068057731150275e+18
8,212360638858.56,2.911687865634943e+18
9,212360641715.88,2.9170690281693773e+18
10,212360644573.2,2.9229300580312827e+18
11,212360647430.52,2.9292529774675277e+18
12,212360650287.84,2.936020948369829e+18
13,212360653145.16,2.943218196202622e+18
14,212360656002.48,2.9508299414779704e+18
15,212360658859.8,2.9588423375544745e+18
16,212360661717.12,2.967242413831672e+18
17,212360664574.44,2.976018023614701e+18
18,212360667431.76,2.985157796071066e+18
19,212360670289.08,2.9946510918112323e+18
20,212360673146.4,3.004487961706734e+18
21,212360676003.72,3.014659108620505e+18
22,212360678861.04,3.0251558517716833e+18
23,212360681718.36,3.0359700934967987e+18
24,212360684575.68,3.047094288203018e+18
25,212360687433.0,3.058521413335544e+18
26,212360690290.32,3.0702449422010527e+18
27,212360693147.64,3.082258818505071e+18
28,212360696004.96,3.094557432477017e+18
29,212360698862.28,3.1071355984712e+18
30,212360844585.6,3.4807048535572833e+18
31,212360844585.6,3.4807048535572833e+18
32,212360847442.92,3.494707632702126e+18
33,212360850300.24,3.5091268334176364e+18
34,212360853157.56,3.5239418493311283e+18
35,212360856014.88,3.539145109165177e+18
36,212360858872.2,3.5547308527248686e+18
37,212360861729.52,3.570693974835053e+18
38,212360864586.84,3.5870298362469827e+18
39,212360867444.16,3.6037342177097677e+18
40,212360870301.48,3.620803299669611e+18
41,212360873158.8,3.63823364720435e+18
42,212360876016.12,3.6560221962888863e+18
43,212360878873.44,3.674166240647884e+18
44,212360881730.76,3.692663419097116e+18
45,212360884588.08,3.7115117033975593e+18
46,212360887445.4,3.7307093866555244e+18
47,212360890302.72,3.7502550722871255e+18
48,212360893160.04,3.7701476635504195e+18
49,212360896017.36,3.790386353639808e+18
50,212360898874.68,3.8109706163341097e+18
51,212360901732.0,3.831900197186835e+18
52,212360904589.32,3.853175105242223e+18
53,212360907446.64,3.874795605256872e+18
54,212360910303.96,3.8967622104067256e+18
55,212360913161.28,3.919075675462593e+18
56,212360916018.6,3.9417369904183004e+18
57,212360918875.92,3.964747374553597e+18
58,212360921733.24,3.988108270911659e+18
59,212360924590.56,4.0118213411724283e+18
60,212360927447.88,4.035888460907209e+18
61,212361073171.2,4.875649124374842e+18
62,212361073171.2,4.875649124374842e+18
63,212361076028.52,4.902691812160264e+18
64,212361078885.84,4.930487974697699e+18
65,212361081743.16,4.959012344976079e+18
66,212361084600.48,4.988263401367772e+18
67,212361087457.8,5.018241441852888e+18
68,212361090315.12,5.048947256414646e+18
69,212361093172.44,5.080382039334816e+18
70,212361096029.76,5.112547400013454e+18
71,212361098887.08,5.145445375392044e+18
72,212361101744.4,5.179078437333917e+18
73,212361104601.72,5.213449496358619e+18
74,212361107459.04,5.248561903139399e+18
75,212361110316.36,5.28441944865544e+18
76,212361113173.68,5.321026363543355e+18
77,212361116031.0,5.35838731699189e+18
78,212361118888.32,5.396507415401117e+18
79,212361121745.64,5.435392200952494e+18
80,212361124602.96,5.475047650194313e+18
81,212361127460.28,5.51548017272394e+18
82,212361130317.6,5.556696610030647e+18
83,212361133174.92,5.598704234543904e+18
84,212361136032.24,5.641510748915865e+18
85,212361138889.56,5.685124285561015e+18
86,212361141746.88,5.729553406475629e+18
87,212361144604.2,5.774807103358008e+18
88,212361147461.52,5.820894798040916e+18
89,212361150318.84,5.867826343238961e+18
90,212361153176.16,5.915612023613317e+18
91,212361156033.48,5.964262557161238e+18
92,212361301756.8,7.502499756525112e+18
93,212361301756.8,7.502499756525112e+18
94,212361304614.12,7.557587004214742e+18
95,212361307471.44,7.614272500982344e+18
96,212361310328.76,7.67262035389867e+18
97,212361313186.08,7.732634962943799e+18
98,212361316043.4,7.794278934392078e+18
99,212361318900.72,7.857567839054007e+18
100,212361321758.04,7.922517989137267e+18
101,212361324615.36,7.989146500925046e+18
102,212361327472.68,8.057471319504077e+18
103,212361330330.0,8.127511228595955e+18
104,212361333187.32,8.199285853096704e+18
105,212361336044.64,8.272952202724277e+18
106,212361338901.96,8.348510197791551e+18
107,212361341759.28,8.425906677391439e+18
108,212361344616.6,8.505203080123998e+18
109,212361347473.92,8.586414106341945e+18
110,212361350331.24,8.669629849204985e+18
111,212361353188.56,8.754908821020868e+18
112,212361356045.88,8.842194417314188e+18
113,212361358903.2,8.931494959340425e+18
114,212361361760.52,9.023114093523007e+18
115,212361364617.84,9.116916685722012e+18
116,212361367475.16,9.212919165137942e+18
117,212361370332.48,9.31105987029877e+18
118,212361373189.8,9.411458453406702e+18
119,212361376047.12,9.514209319100551e+18
120,212361378904.44,9.6192157213294e+18
121,212361381761.76,9.726540382781893e+18
122,212361384619.08,9.836345981607113e+18
123,212361530342.4,1.3390470722145473e+19
