,Times,MoIs,a,b,c
0,212360616000.0,2.888530457228847e+18,7500.0,7228.8445004813575,1239.1304347826085
1,212360618857.32,2.8886618042864415e+18,7500.142511351926,7228.96305941353,1239.0566936711366
2,212360621714.64,2.8888167233727084e+18,7500.312954930502,7229.098730039688,1238.9687837716087
3,212360624571.96,2.888975935716009e+18,7500.489638870037,7229.23626703175,1238.878278932209
4,212360627429.28,2.8891359534136643e+18,7500.667913901105,7229.373711028103,1238.787303179076
5,212360630286.6,2.889296138322329e+18,7500.846656946415,7229.510985518827,1238.6962416473236
6,212360633143.92,2.8894563713410376e+18,7501.02556002964,7229.648177464274,1238.6051643427747
7,212360636001.24,2.889616629407275e+18,7501.204528773761,7229.785339451737,1238.5140841358946
8,212360638858.56,2.889776907762435e+18,7501.383531869596,7229.922494511508,1238.423003449203
9,212360641715.88,2.889937205325902e+18,7501.56255840488,7230.05965178503,1238.3319227590744
10,212360644573.2,2.890097521821898e+18,7501.741604468033,7230.1968147633615,1238.2408421664018
11,212360647430.52,2.890257857172821e+18,7501.920668646307,7230.333984748845,1238.1497616949866
12,212360650287.84,2.8904182113566797e+18,7502.09975043857,7230.471162212351,1238.0586813511882
13,212360653145.16,2.8905785843684567e+18,7502.2788496671865,7230.608347323608,1237.9676011369374
14,212360656002.48,2.8907389762082693e+18,7502.457966258651,7230.745540154952,1237.8765210529475
15,212360658859.8,2.890899386878016e+18,7502.637100177671,7230.882740743651,1237.78544109956
16,212360661717.12,2.891059816380748e+18,7502.816251417338,7231.019949100626,1237.6943612769437
17,212360664574.44,2.891220264720277e+18,7502.995419990052,7231.1571652179655,1237.6032815851604
18,212360667431.76,2.891380731900381e+18,7503.1746059064235,7231.2943890886145,1237.5122020242557
19,212360670289.08,2.8915412179243023e+18,7503.353809162035,7231.431620719807,1237.4211225943257
20,212360673146.4,2.8917017227950633e+18,7503.53302974695,7231.568860124876,1237.3300432954998
21,212360676003.72,2.891862246516132e+18,7503.712267663601,7231.706107305928,1237.2389641278705
22,212360678861.04,2.892022789091468e+18,7503.891522927868,7231.843362251765,1237.1478850914725
23,212360681718.36,2.8921833505249157e+18,7504.070795551662,7231.980624954108,1237.056806186341
24,212360684575.68,2.892343930819744e+18,7504.250085531008,7232.117895419771,1236.9657274125689
25,212360687433.0,2.8925045299789814e+18,7504.429392856101,7232.25517366197,1236.874648770284
26,212360690290.32,2.892665148006098e+18,7504.608717529438,7232.392459682757,1236.7835702595787
27,212360693147.64,2.8928257849050706e+18,7504.7880595669685,7232.529753470873,1236.6924918804873
28,212360696004.96,2.892986440679745e+18,7504.9674189806465,7232.667055017998,1236.6014136330448
29,212360698862.28,2.8931471153333924e+18,7505.146795766483,7232.804364330964,1236.510335517344
30,212360844585.6,2.901263933011064e+18,7514.203173105681,7239.7703163258175,1231.9006287850216
31,212360844585.6,2.901263933011064e+18,7514.203173105681,7239.7703163258175,1231.9006287850216
32,212360847442.92,2.901425460562131e+18,7514.38323393684,7239.90801282288,1231.8096331254187
33,212360850300.24,2.901587106977686e+18,7514.563465104764,7240.045750327435,1231.718576207757
34,212360853157.56,2.901748790980935e+18,7514.743754005323,7240.183489843432,1231.6275084234699
35,212360856014.88,2.9019104975931085e+18,7514.924072307212,7240.321231764849,1231.5364387663674
36,212360858872.2,2.9020722239917466e+18,7515.104411983938,7240.45897891961,1231.4453688707306
37,212360861729.52,2.902233969624561e+18,7515.284770522437,7240.596732829205,1231.3542990388887
38,212360864586.84,2.902395734378179e+18,7515.465147091133,7240.734494128876,1231.2632293283827
39,212360867444.16,2.902557518228959e+18,7515.645541403995,7240.87226306412,1231.1721597507496
40,212360870301.48,2.9027193211728896e+18,7515.825953349313,7241.01003973858,1231.0810903085796
41,212360873158.8,2.9028811432108375e+18,7516.006382877558,7241.147824202173,1230.9900210026103
42,212360876016.12,2.903042984345618e+18,7516.186829976873,7241.285616470442,1230.898951833102
43,212360878873.44,2.903204844581041e+18,7516.367294658569,7241.423416536545,1230.8078828001392
44,212360881730.76,2.903366723920952e+18,7516.547776933126,7241.561224393576,1230.716813903772
45,212360884588.08,2.9035286223686205e+18,7516.728276795568,7241.699040049318,1230.6257451441006
46,212360887445.4,2.9036905399271066e+18,7516.908794235224,7241.836863517866,1230.534676521259
47,212360890302.72,2.903852476599938e+18,7517.089329254505,7241.974694801452,1230.443608035341
48,212360893160.04,2.90401443239118e+18,7517.269881870019,7242.112533888262,1230.35253968638
49,212360896017.36,2.90417640730476e+18,7517.450452094216,7242.250380769534,1230.261471474409
