,0,1
0,212360616000.0,2.888530457228847e+18
1,212360618857.32,2.8886618042864415e+18
2,212360621714.64,2.8888167233727084e+18
3,212360624571.96,2.888975935716009e+18
4,212360627429.28,2.8891359534136643e+18
5,212360630286.6,2.889296138322329e+18
6,212360633143.92,2.8894563713410376e+18
7,212360636001.24,2.889616629407275e+18
8,212360638858.56,2.889776907762435e+18
9,212360641715.88,2.889937205325902e+18
10,212360644573.2,2.890097521821898e+18
11,212360647430.52,2.890257857172821e+18
12,212360650287.84,2.8904182113566797e+18
13,212360653145.16,2.8905785843684567e+18
14,212360656002.48,2.8907389762082693e+18
15,212360658859.8,2.890899386878016e+18
16,212360661717.12,2.891059816380748e+18
17,212360664574.44,2.891220264720277e+18
18,212360667431.76,2.891380731900381e+18
19,212360670289.08,2.8915412179243023e+18
20,212360673146.4,2.8917017227950633e+18
21,212360676003.72,2.891862246516132e+18
22,212360678861.04,2.892022789091468e+18
23,212360681718.36,2.8921833505249157e+18
24,212360684575.68,2.892343930819744e+18
25,212360687433.0,2.8925045299789814e+18
26,212360690290.32,2.892665148006098e+18
27,212360693147.64,2.8928257849050706e+18
28,212360696004.96,2.892986440679745e+18
29,212360698862.28,2.8931471153333924e+18
30,212360844585.6,2.901263933011064e+18
31,212360844585.6,2.901263933011064e+18
32,212360847442.92,2.901425460562131e+18
33,212360850300.24,2.901587106977686e+18
34,212360853157.56,2.901748790980935e+18
35,212360856014.88,2.9019104975931085e+18
36,212360858872.2,2.9020722239917466e+18
37,212360861729.52,2.902233969624561e+18
38,212360864586.84,2.902395734378179e+18
39,212360867444.16,2.902557518228959e+18
40,212360870301.48,2.9027193211728896e+18
41,212360873158.8,2.9028811432108375e+18
42,212360876016.12,2.903042984345618e+18
43,212360878873.44,2.903204844581041e+18
44,212360881730.76,2.903366723920952e+18
45,212360884588.08,2.9035286223686205e+18
46,212360887445.4,2.9036905399271066e+18
47,212360890302.72,2.903852476599938e+18
48,212360893160.04,2.90401443239118e+18
49,212360896017.36,2.90417640730476e+18
50,212360898874.68,2.9043384013439954e+18
51,212360901732.0,2.9045004145119565e+18
52,212360904589.32,2.9046624468121754e+18
53,212360907446.64,2.9048244982487286e+18
54,212360910303.96,2.904986568825558e+18
55,212360913161.28,2.905148658545978e+18
56,212360916018.6,2.905310767413062e+18
57,212360918875.92,2.9054728954303447e+18
58,212360921733.24,2.9056350426019144e+18
59,212360924590.56,2.905797208931708e+18
60,212360927447.88,2.9059593944230584e+18
61,212361073171.2,2.9142114282878904e+18
62,212361073171.2,2.9142114282878904e+18
63,212361076028.52,2.9143744851102326e+18
64,212361078885.84,2.9145376637369375e+18
65,212361081743.16,2.9147008808132925e+18
66,212361084600.48,2.9148641209146993e+18
67,212361087457.8,2.915027381121015e+18
68,212361090315.12,2.915190660857523e+18
69,212361093172.44,2.915353960005347e+18
70,212361096029.76,2.915517278539392e+18
71,212361098887.08,2.9156806164552197e+18
72,212361101744.4,2.9158439737535785e+18
73,212361104601.72,2.9160073504372997e+18
74,212361107459.04,2.916170746510275e+18
75,212361110316.36,2.9163341619764485e+18
76,212361113173.68,2.916497596839141e+18
77,212361116031.0,2.916661051101451e+18
78,212361118888.32,2.91682452476697e+18
79,212361121745.64,2.916988017839881e+18
80,212361124602.96,2.9171515303242086e+18
81,212361127460.28,2.917315062223332e+18
82,212361130317.6,2.91747861354035e+18
83,212361133174.92,2.917642184278869e+18
84,212361136032.24,2.9178057744430833e+18
85,212361138889.56,2.9179693840370217e+18
86,212361141746.88,2.9181330130640686e+18
87,212361144604.2,2.91829666152732e+18
88,212361147461.52,2.9184603294303995e+18
89,212361150318.84,2.9186240167774853e+18
90,212361153176.16,2.91878772357264e+18
91,212361156033.48,2.918951449819228e+18
92,212361301756.8,2.927281787419634e+18
93,212361301756.8,2.927281787419634e+18
94,212361304614.12,2.927446397588253e+18
95,212361307471.44,2.927611131788894e+18
96,212361310328.76,2.9277759051719946e+18
97,212361313186.08,2.9279407019754604e+18
98,212361316043.4,2.928105519202501e+18
99,212361318900.72,2.9282703562603715e+18
100,212361321758.04,2.9284352130257096e+18
101,212361324615.36,2.928600089472263e+18
102,212361327472.68,2.9287649855952553e+18
103,212361330330.0,2.928929901395339e+18
104,212361333187.32,2.9290948368753597e+18
105,212361336044.64,2.929259792039316e+18
106,212361338901.96,2.929424766891243e+18
107,212361341759.28,2.9295897614345257e+18
108,212361344616.6,2.929754775672285e+18
109,212361347473.92,2.9299198096081915e+18
110,212361350331.24,2.930084863246542e+18
111,212361353188.56,2.930249936591478e+18
112,212361356045.88,2.930415029646412e+18
113,212361358903.2,2.9305801424144983e+18
114,212361361760.52,2.930745274899406e+18
115,212361364617.84,2.930910427105443e+18
116,212361367475.16,2.9310755990367514e+18
117,212361370332.48,2.931240790696768e+18
118,212361373189.8,2.931406002088638e+18
119,212361376047.12,2.931571233216032e+18
120,212361378904.44,2.9317364840832686e+18
121,212361381761.76,2.9319017546944973e+18
122,212361384619.08,2.932067045053153e+18
123,212361530342.4,2.9404768742716964e+18
124,212361530342.4,2.9404768742716964e+18
125,212361533199.72,2.940643061396583e+18
126,212361536057.04,2.9408093748344596e+18
127,212361538914.36,2.9409757282066836e+18
128,212361541771.68,2.9411421054043377e+18
129,212361544629.0,2.941308503351428e+18
130,212361547486.32,2.9414749214365036e+18
131,212361550343.64,2.941641359531531e+18
132,212361553200.96,2.9418078176090383e+18
133,212361556058.28,2.941974295663874e+18
134,212361558915.6,2.9421407936965827e+18
135,212361561772.92,2.9423073117100344e+18
136,212361564630.24,2.9424738497083295e+18
137,212361567487.56,2.942640407695618e+18
138,212361570344.88,2.9428069856753224e+18
139,212361573202.2,2.942973583650604e+18
140,212361576059.52,2.9431402016252047e+18
141,212361578916.84,2.9433068396035446e+18
142,212361581774.16,2.9434734975898665e+18
143,212361584631.48,2.943640175587656e+18
144,212361587488.8,2.943806873600089e+18
145,212361590346.12,2.94397359163092e+18
146,212361593203.44,2.9441403296845594e+18
147,212361596060.76,2.944307087765288e+18
148,212361598918.08,2.9444738658765696e+18
149,212361601775.4,2.9446406640215987e+18
150,212361604632.72,2.9448074822041236e+18
151,212361607490.04,2.944974320428571e+18
152,212361610347.36,2.945141178699218e+18
153,212361613204.68,2.9453080570195507e+18
154,212361758928.0,2.9537985887539656e+18
155,212361758928.0,2.9537985887539656e+18
156,212361761785.32,2.9539663769443087e+18
157,212361764642.64,2.95413429378349e+18
158,212361767499.96,2.954302251328609e+18
159,212361770357.28,2.9544702331142625e+18
160,212361773214.6,2.9546382359826647e+18
161,212361776071.92,2.954806259302916e+18
162,212361778929.24,2.954974302942113e+18
163,212361781786.56,2.9551423668714696e+18
164,212361784643.88,2.9553104510854656e+18
165,212361787501.2,2.9554785555845135e+18
166,212361790358.52,2.955646680371523e+18
167,212361793215.84,2.9558148254506783e+18
168,212361796073.16,2.955982990826253e+18
169,212361798930.48,2.9561511765017155e+18
170,212361801787.8,2.9563193824802657e+18
171,212361804645.12,2.956487608765716e+18
172,212361807502.44,2.956655855362603e+18
173,212361810359.76,2.9568241222753137e+18
174,212361813217.08,2.9569924095073674e+18
175,212361816074.4,2.957160717061971e+18
176,212361818931.72,2.95732904494296e+18
177,212361821789.04,2.9574973931548805e+18
178,212361824646.36,2.95766576170212e+18
179,212361827503.68,2.9578341505882035e+18
180,212361830361.0,2.9580025598163523e+18
181,212361833218.32,2.9581709893903887e+18
182,212361836075.64,2.958339439314879e+18
183,212361838932.96,2.958507909594212e+18
184,212361841790.28,2.9586764002319237e+18
185,212361987513.6,2.967248871052311e+18
186,212361987513.6,2.967248871052311e+18
187,212361990370.92,2.9674182849302595e+18
188,212361993228.24,2.967587829849447e+18
189,212361996085.56,2.9677574162665206e+18
190,212361998942.88,2.9679270273496125e+18
191,212362001800.2,2.968096659856429e+18
192,212362004657.52,2.9682663131358597e+18
193,212362007514.84,2.968435987049912e+18
194,212362010372.16,2.9686056815684403e+18
195,212362013229.48,2.9687753966854953e+18
196,212362016086.8,2.968945132401373e+18
197,212362018944.12,2.9691148887189847e+18
198,212362021801.44,2.969284665642655e+18
199,212362024658.76,2.969454463176745e+18
200,212362027516.08,2.9696242813247944e+18
201,212362030373.4,2.9697941200900086e+18
202,212362033230.72,2.969963979476294e+18
203,212362036088.04,2.970133859488328e+18
204,212362038945.36,2.9703037601305953e+18
205,212362041802.68,2.970473681406688e+18
206,212362044660.0,2.9706436233198474e+18
207,212362047517.32,2.97081358587397e+18
208,212362050374.64,2.9709835690737516e+18
209,212362053231.96,2.9711535729236864e+18
210,212362056089.28,2.9713235974273777e+18
211,212362058946.6,2.9714936425880535e+18
212,212362061803.92,2.9716637084096276e+18
213,212362064661.24,2.971833794896786e+18
214,212362067518.56,2.9720039020540646e+18
215,212362070375.88,2.972174029885032e+18
216,212362216099.2,2.980829702746669e+18
217,212362216099.2,2.980829702746669e+18
218,212362218956.52,2.981000767461631e+18
219,212362221813.84,2.981171965668514e+18
220,212362224671.16,2.981343206186257e+18
221,212362227528.48,2.9815144718062444e+18
222,212362230385.8,2.9816857591988275e+18
223,212362233243.12,2.9818570676919086e+18
224,212362236100.44,2.982028397142164e+18
225,212362238957.76,2.982199747517997e+18
226,212362241815.08,2.982371118813043e+18
227,212362244672.4,2.9825425110274345e+18
228,212362247529.72,2.9827139241641093e+18
229,212362250387.04,2.982885358227503e+18
230,212362253244.36,2.9830568132220964e+18
