,Times,MoIs,a,b,c
0,212360616000.0,1.5401631783850918e+18,1239.1304347826085,7489.343401399605,7239.130434782608
1,212360618857.32,1.5401647812985024e+18,1239.1299956773482,7489.346960195777,7239.128478948297
2,212360621714.64,1.5401663922404698e+18,1239.1295554724975,7489.350536917215,7239.126509098486
3,212360624571.96,1.5401680032296627e+18,1239.1291152643882,7489.354113742089,7239.12453916023
4,212360627429.28,1.5401696142226865e+18,1239.1286750559168,7489.357690572792,7239.122569219593
5,212360630286.6,1.540171225219339e+18,1239.128234847078,7489.361267408882,7239.120599277031
6,212360633143.92,1.5401728362196055e+18,1239.1277946378777,7489.364844250314,7239.118629332566
7,212360636001.24,1.5401744472234163e+18,1239.1273544283342,7489.368421096952,7239.116659386269
8,212360638858.56,1.5401760582307633e+18,1239.1269142184526,7489.371997948756,7239.11468943816
9,212360641715.88,1.540177669241687e+18,1239.126474008218,7489.375574805834,7239.112719488185
10,212360644573.2,1.540179280256243e+18,1239.1260337976162,7489.379151668295,7239.110749536286
11,212360647430.52,1.540180891274408e+18,1239.1255935866527,7489.3827285360985,7239.108779582485
12,212360650287.84,1.5401825022961213e+18,1239.125153375346,7489.386305409109,7239.106809626851
13,212360653145.16,1.5401841133213688e+18,1239.1247131637012,7489.389882287284,7239.104839669406
14,212360656002.48,1.5401857243501975e+18,1239.1242729517035,7489.393459170733,7239.102869710094
15,212360658859.8,1.5401873353826514e+18,1239.1238327393382,7489.397036059566,7239.100899748859
16,212360661717.12,1.5401889464187172e+18,1239.1233925266115,7489.400612953741,7239.098929785721
17,212360664574.44,1.5401905574583375e+18,1239.1229523135416,7489.404189853123,7239.09695982075
18,212360667431.76,1.5401921685014807e+18,1239.1225121001337,7489.407766757669,7239.094989853968
19,212360670289.08,1.5401937795482112e+18,1239.1220718863729,7489.41134366749,7239.09301988532
20,212360673146.4,1.540195390598568e+18,1239.1216316722443,7489.414920582694,7239.0910499147485
21,212360676003.72,1.5401970016525407e+18,1239.1211914577543,7489.418497503241,7239.089079942274
22,212360678861.04,1.5401986127100572e+18,1239.1207512429212,7489.422074428995,7239.087109967967
23,212360681718.36,1.540200223771106e+18,1239.1203110277502,7489.425651359913,7239.085139991849
24,212360684575.68,1.5402018348357376e+18,1239.119870812226,7489.429228296105,7239.083170013864
25,212360687433.0,1.5402034459039974e+18,1239.1194305963343,7489.432805237681,7239.081200033956
26,212360690290.32,1.5402050569758664e+18,1239.118990380081,7489.436382184601,7239.079230052144
27,212360693147.64,1.5402066680512899e+18,1239.1185501634845,7489.439959136727,7239.0772600685
28,212360696004.96,1.540208279130243e+18,1239.1181099465502,7489.443536094018,7239.075290083046
29,212360698862.28,1.5402098902127762e+18,1239.1176697292628,7489.447113056583,7239.073320095724
30,212360844585.6,1.5402920405495352e+18,1239.0952207266077,7489.629504399411,7238.972875646262
31,212360844585.6,1.5402920405495352e+18,1239.0952207266077,7489.629504399411,7238.972875646262
32,212360847442.92,1.540293651817713e+18,1239.0947804910916,7489.633081635093,7238.970905562652
33,212360850300.24,1.5402952630900352e+18,1239.0943402551034,7489.636658877272,7238.968935476321
34,212360853157.56,1.5402968743658903e+18,1239.0939000187775,7489.640236124618,7238.9669653881765
35,212360856014.88,1.5402984856453235e+18,1239.0934597820985,7489.64381337724,7238.9649952981645
36,212360858872.2,1.5403000969283907e+18,1239.0930195450514,7489.647390635251,7238.963025206226
37,212360861729.52,1.5403017082150707e+18,1239.0925793076424,7489.6509678986085,7238.961055112384
38,212360864586.84,1.540303319505303e+18,1239.0921390698904,7489.654545167171,7238.959085016711
39,212360867444.16,1.540304930799062e+18,1239.0916988318013,7489.658122440894,7238.957114919228
40,212360870301.48,1.5403065420964014e+18,1239.091258593359,7489.661699719892,7238.955144819878
41,212360873158.8,1.5403081533973745e+18,1239.0908183545484,7489.665277004279,7238.953174718602
42,212360876016.12,1.540309764701963e+18,1239.0903781153759,7489.668854294014,7238.951204615421
43,212360878873.44,1.5403113760100977e+18,1239.0899378758606,7489.672431588953,7238.949234510409
44,212360881730.76,1.5403129873217636e+18,1239.089497636008,7489.676008889052,7238.947264403589
45,212360884588.08,1.54031459863701e+18,1239.0890573958025,7489.6795861944265,7238.945294294901
46,212360887445.4,1.5403162099558892e+18,1239.0886171552286,7489.683163505191,7238.943324184287
47,212360890302.72,1.5403178212783846e+18,1239.0881769142927,7489.686740821303,7238.941354071768
48,212360893160.04,1.5403194326044278e+18,1239.087736673014,7489.69031814262,7238.939383957418
49,212360896017.36,1.5403210439339963e+18,1239.087296431398,7489.693895469096,7238.937413841259
50,212360898874.68,1.5403226552671498e+18,1239.086856189429,7489.697472800847,7238.935443723232
51,212360901732.0,1.540324266603935e+18,1239.0864159470916,7489.701050137989,7238.93347360328
52,212360904589.32,1.5403258779443356e+18,1239.0859757043922,7489.704627480479,7238.931503481423
53,212360907446.64,1.5403274892882842e+18,1239.08553546135,7489.708204828173,7238.929533357734
54,212360910303.96,1.540329100635765e+18,1239.0850952179705,7489.711782181026,7238.927563232237
55,212360913161.28,1.540330711986824e+18,1239.084654974238,7489.715359539155,7238.925593104873
56,212360916018.6,1.5403323233415176e+18,1239.084214730137,7489.718936902675,7238.923622975582
57,212360918875.92,1.5403339346998244e+18,1239.0837744856742,7489.722514271542,7238.921652844386
58,212360921733.24,1.5403355460616806e+18,1239.0833342408685,7489.726091645614,7238.919682711358
59,212360924590.56,1.5403371574270646e+18,1239.0828939957257,7489.729669024845,7238.917712576523
60,212360927447.88,1.540338768796032e+18,1239.08245375023,7489.733246409351,7238.91574243982
61,212361073171.2,1.5404209472619615e+18,1239.060001467296,7489.915689465646,7238.815266726075
62,212361073171.2,1.5404209472619615e+18,1239.060001467296,7489.915689465646,7238.815266726075
63,212361076028.52,1.5404225588166597e+18,1239.0595612035643,7489.919267123379,7238.813296493048
64,212361078885.84,1.5404241703754954e+18,1239.059120939361,7489.922844787606,7238.811326257303
65,212361081743.16,1.5404257819378657e+18,1239.0586806748208,7489.926422456996,7238.809356019747
66,212361084600.48,1.5404273935038152e+18,1239.0582404099275,7489.9300001316615,7238.807385780322
67,212361087457.8,1.5404290050734024e+18,1239.0578001446652,7489.933577811724,7238.805415538968
68,212361090315.12,1.5404306166466066e+18,1239.0573598790404,7489.937155497138,7238.803445295707
69,212361093172.44,1.5404322282233582e+18,1239.0569196130732,7489.940733187754,7238.801475050616
70,212361096029.76,1.5404338398036365e+18,1239.0564793467695,7489.944310883526,7238.79950480372
71,212361098887.08,1.540435451387499e+18,1239.0560390801127,7489.947888584573,7238.797534554956
72,212361101744.4,1.5404370629749962e+18,1239.0555988130866,7489.951466291018,7238.795564304262
73,212361104601.72,1.5404386745661105e+18,1239.055158545698,7489.955044002814,7238.793594051662
74,212361107459.04,1.5404402861607729e+18,1239.0547182779671,7489.958621719813,7238.791623797231
75,212361110316.36,1.5404418977589642e+18,1239.0542780098997,7489.962199441967,7238.7896535409955
76,212361113173.68,1.5404435093607347e+18,1239.0538377414791,7489.965777169396,7238.7876832828915
77,212361116031.0,1.540445120966144e+18,1239.0533974726893,7489.969354902222,7238.785713022858
78,212361118888.32,1.5404467325751693e+18,1239.052957203537,7489.972932640401,7238.783742760917
79,212361121745.64,1.5404483441877448e+18,1239.0525169340426,7489.976510383783,7238.781772497147
80,212361124602.96,1.5404499558038456e+18,1239.0520766642117,7489.980088132318,7238.779802231571
81,212361127460.28,1.540451567423528e+18,1239.0516363940276,7489.9836658861295,7238.7778319641275
82,212361130317.6,1.5404531790468493e+18,1239.0511961234743,7489.98724364534,7238.775861694754
83,212361133174.92,1.540454790673787e+18,1239.0507558525583,7489.990821409902,7238.773891423473
84,212361136032.24,1.5404564023042716e+18,1239.0503155813,7489.994399179666,7238.771921150363
85,212361138889.56,1.5404580139382838e+18,1239.0498753097054,7489.997976954584,7238.769950875447
86,212361141746.88,1.5404596255758756e+18,1239.0494350377576,7490.001554734778,7238.767980598664
87,212361144604.2,1.5404612372171118e+18,1239.0489947654405,7490.005132520371,7238.76601031995
88,212361147461.52,1.5404628488619617e+18,1239.0485544927608,7490.008710311317,7238.764040039328
89,212361150318.84,1.5404644605103532e+18,1239.0481142197389,7490.012288107465,7238.762069756878
90,212361153176.16,1.5404660721622807e+18,1239.0476739463807,7490.0158659087665,7238.760099472623
91,212361156033.48,1.5404676838177864e+18,1239.047233672669,7490.019443715344,7238.7581291865
92,212361301756.8,1.5405498768970038e+18,1239.024779950741,7490.201908296779,7238.657645852397
93,212361301756.8,1.5405498768970038e+18,1239.024779950741,7490.201908296779,7238.657645852397
94,212361304614.12,1.5405514887382945e+18,1239.02433965879,7490.205486376649,7238.655675469928
95,212361307471.44,1.5405531005837248e+18,1239.023899366368,7490.209064463012,7238.653705084741
96,212361310328.76,1.5405547124326853e+18,1239.0234590736097,7490.212642554531,7238.651734697745
97,212361313186.08,1.54055632428523e+18,1239.0230187804984,7490.216220651328,7238.649764308882
98,212361316043.4,1.5405579361414093e+18,1239.022578487017,7490.219798753528,7238.647793918086
99,212361318900.72,1.5405595480012122e+18,1239.0221381931724,7490.223376861086,7238.64582352538
100,212361321758.04,1.5405611598645624e+18,1239.021697898986,7490.226954973843,7238.643853130847
101,212361324615.36,1.5405627717314394e+18,1239.0212576044642,7490.23053309175,7238.641882734511
102,212361327472.68,1.5405643836018941e+18,1239.020817309589,7490.234111214933,7238.639912336306
103,212361330330.0,1.5405659954759946e+18,1239.0203770143435,7490.237689343522,7238.637941936168
104,212361333187.32,1.540567607353712e+18,1239.0199367187352,7490.241267477468,7238.635971534121
105,212361336044.64,1.5405692192349768e+18,1239.0194964227849,7490.244845616613,7238.634001130246
106,212361338901.96,1.5405708311197676e+18,1239.019056126499,7490.248423760907,7238.632030724569
107,212361341759.28,1.54057244300814e+18,1239.01861582986,7490.252001910478,7238.630060317023
108,212361344616.6,1.5405740549001595e+18,1239.0181755328508,7490.2555800654545,7238.628089907544
109,212361347473.92,1.5405756667957893e+18,1239.0177352354785,7490.259158225788,7238.626119496155
110,212361350331.24,1.5405772786949714e+18,1239.0172949377645,7490.262736391321,7238.624149082939
111,212361353188.56,1.5405788905976776e+18,1239.016854639715,7490.266314562003,7238.62217866792
112,212361356045.88,1.5405805025039654e+18,1239.016414341312,7490.2698927379615,7238.620208251033
113,212361358903.2,1.5405821144138964e+18,1239.0159740425388,7490.273470919326,7238.618237832212
114,212361361760.52,1.5405837263274455e+18,1239.0155337434026,7490.277049106049,7238.616267411481
115,212361364617.84,1.5405853382445453e+18,1239.0150934439246,7490.280627297971,7238.614296988922
116,212361367475.16,1.5405869501651666e+18,1239.014653144111,7490.284205495041,7238.612326564562
117,212361370332.48,1.540588562089374e+18,1239.0142128439443,7490.287783697388,7238.610356138333
118,212361373189.8,1.5405901740172214e+18,1239.0137725434072,7490.291361905141,7238.60838571017
119,212361376047.12,1.5405917859486868e+18,1239.013332242507,7490.294940118252,7238.606415280098
120,212361378904.44,1.5405933978837012e+18,1239.012891941265,7490.298518336562,7238.604444848198
121,212361381761.76,1.5405950098222382e+18,1239.0124516396875,7490.30209656002,7238.602474414496
122,212361384619.08,1.5405966217643607e+18,1239.0120113377568,7490.305674788755,7238.600503978926
123,212361530342.4,1.540678829460746e+18,1238.9895561766457,7490.48816089976,7238.500013023128
124,212361530342.4,1.540678829460746e+18,1238.9895561766457,7490.48816089976,7238.500013023128
125,212361533199.72,1.540680441588706e+18,1238.9891158564715,7490.491739401856,7238.49804249119
126,212361536057.04,1.5406820537208077e+18,1238.9886755358268,7490.495317910441,7238.496071956536
127,212361538914.36,1.5406836658564332e+18,1238.988235214847,7490.4988964241775,7238.494101420077
128,212361541771.68,1.540685277995644e+18,1238.9877948935139,7490.502474943191,7238.492130881749
129,212361544629.0,1.5406868901385004e+18,1238.9873545718096,7490.506053467618,7238.490160341485
130,212361547486.32,1.540688502284976e+18,1238.9869142497419,7490.509631997406,7238.488189799308
131,212361550343.64,1.5406901144350013e+18,1238.9864739273328,7490.513210532391,7238.486219255305
132,212361553200.96,1.5406917265885466e+18,1238.9860336045888,7490.51678907252,7238.484248709502
133,212361556058.28,1.5406933387456786e+18,1238.9855932814917,7490.520367617926,7238.482278161831
134,212361558915.6,1.5406949509064538e+18,1238.9851529580233,7490.523946168746,7238.480307612223
135,212361561772.92,1.5406965630708529e+18,1238.9847126341913,7490.527524724928,7238.478337060704
136,212361564630.24,1.5406981752387963e+18,1238.984272310018,7490.5311032863065,7238.476366507358
