,0,1
0,212360616000.0,2.888530457228847e+18
1,212360618857.32,2.8890356873985766e+18
2,212360621714.64,2.889884505681142e+18
3,212360624571.96,2.8909688618627087e+18
4,212360627429.28,2.8922152651483054e+18
5,212360630286.6,2.893573483455474e+18
6,212360633143.92,2.8950091078923284e+18
7,212360636001.24,2.896498541934555e+18
8,212360638858.56,2.898025592322647e+18
9,212360641715.88,2.8995791400777354e+18
10,212360644573.2,2.901151546376299e+18
11,212360647430.52,2.902737560361523e+18
12,212360650287.84,2.904333570425182e+18
13,212360653145.16,2.9059370907392046e+18
14,212360656002.48,2.907546409000137e+18
15,212360658859.8,2.9091603446907233e+18
16,212360661717.12,2.9107780831262653e+18
17,212360664574.44,2.9123990614815365e+18
18,212360667431.76,2.9140228904808207e+18
19,212360670289.08,2.915649300564427e+18
20,212360673146.4,2.917278104860738e+18
21,212360676003.72,2.91890917370015e+18
22,212360678861.04,2.920542417058009e+18
23,212360681718.36,2.9221777724467405e+18
24,212360684575.68,2.92381519655649e+18
25,212360687433.0,2.9254546594769203e+18
26,212360690290.32,2.92709614069709e+18
27,212360693147.64,2.928739626329728e+18
28,212360696004.96,2.9303851071794304e+18
29,212360698862.28,2.9320325773945344e+18
30,212360844585.6,3.0083301792617027e+18
31,212360844585.6,3.0083301792617027e+18
32,212360847442.92,3.0100266860382167e+18
33,212360850300.24,3.0117393135485445e+18
34,212360853157.56,3.013463793030147e+18
35,212360856014.88,3.0151971873360143e+18
36,212360858872.2,3.016937452235023e+18
37,212360861729.52,3.018683166312669e+18
38,212360864586.84,3.020433341714375e+18
39,212360867444.16,3.0221872920330865e+18
40,212360870301.48,3.023944540391122e+18
41,212360873158.8,3.0257047555745157e+18
42,212360876016.12,3.0274677076772593e+18
43,212360878873.44,3.0292332372935895e+18
44,212360881730.76,3.0310012341136184e+18
45,212360884588.08,3.032771622046911e+18
46,212360887445.4,3.034544348879848e+18
47,212360890302.72,3.0363193790815355e+18
48,212360893160.04,3.038096688795417e+18
49,212360896017.36,3.039876262348529e+18
50,212360898874.68,3.041658089816476e+18
51,212360901732.0,3.043442165324635e+18
52,212360904589.32,3.0452284858620083e+18
53,212360907446.64,3.0470170504507e+18
54,212360910303.96,3.048807859561892e+18
55,212360913161.28,3.0506009147046723e+18
56,212360916018.6,3.0523962181372616e+18
57,212360918875.92,3.05419377266431e+18
58,212360921733.24,3.0559935814928584e+18
59,212360924590.56,3.057795648128192e+18
60,212360927447.88,3.059599976298578e+18
61,212361073171.2,3.1490884540019277e+18
62,212361073171.2,3.1490884540019277e+18
63,212361076028.52,3.150952098391972e+18
64,212361078885.84,3.152835441576779e+18
65,212361081743.16,3.154733407548414e+18
66,212361084600.48,3.1566424496555423e+18
67,212361087457.8,3.1585600645716833e+18
68,212361090315.12,3.1604844875253356e+18
69,212361093172.44,3.1624144750775296e+18
70,212361096029.76,3.164349151230647e+18
71,212361098887.08,3.166287898857945e+18
72,212361101744.4,3.1682302832386785e+18
73,212361104601.72,3.1701759982355067e+18
74,212361107459.04,3.1721248284090757e+18
75,212361110316.36,3.174076622342895e+18
76,212361113173.68,3.1760312738546744e+18
77,212361116031.0,3.177988708757902e+18
78,212361118888.32,3.1799488755294725e+18
